#      year    tas (K) 
 1850  286.777 
 1851  286.691 
 1852  286.794 
 1853  286.586 
 1854  286.711 
 1855  286.683 
 1856  286.779 
 1857  286.759 
 1858  286.829 
 1859  286.692 
 1860  286.681 
 1861   286.76 
 1862  286.796 
 1863  286.618 
 1864  286.659 
 1865  286.813 
 1866  286.677 
 1867  286.754 
 1868  286.685 
 1869  286.778 
 1870  286.752 
 1871  286.794 
 1872   286.74 
 1873  286.757 
 1874  286.807 
 1875  286.699 
 1876  286.696 
 1877  286.758 
 1878  286.853 
 1879  286.826 
 1880  286.779 
 1881  286.834 
 1882  286.744 
 1883  286.543 
 1884  286.616 
 1885  286.673 
 1886  286.619 
 1887  286.677 
 1888  286.604 
 1889  286.679 
 1890  286.682 
 1891  286.505 
 1892  286.495 
 1893  286.618 
 1894  286.581 
 1895  286.591 
 1896  286.529 
 1897  286.523 
 1898  286.513 
 1899  286.578 
 1900  286.662 
 1901  286.477 
 1902  286.513 
 1903  286.573 
 1904  286.469 
 1905  286.621 
 1906  286.605 
 1907  286.659 
 1908  286.827 
 1909  286.655 
 1910  286.538 
 1911  286.596 
 1912   286.56 
 1913  286.551 
 1914  286.701 
 1915  286.653 
 1916  286.667 
 1917  286.842 
 1918  286.731 
 1919  286.688 
 1920  286.751 
 1921  286.722 
 1922  286.489 
 1923  286.428 
 1924  286.657 
 1925   286.64 
 1926  286.562 
 1927  286.636 
 1928    286.6 
 1929  286.586 
 1930  286.712 
 1931  286.642 
 1932   286.71 
 1933   286.61 
 1934  286.679 
 1935  286.643 
 1936  286.688 
 1937   286.75 
 1938  286.645 
 1939  286.767 
 1940  286.801 
 1941  286.678 
 1942  286.934 
 1943  286.889 
 1944  286.729 
 1945  286.708 
 1946  286.881 
 1947  286.879 
 1948  286.731 
 1949  286.717 
 1950  286.901 
 1951  286.832 
 1952  286.775 
 1953  286.773 
 1954  286.752 
 1955   286.91 
 1956  286.921 
 1957  286.852 
 1958  286.875 
 1959  286.795 
 1960  286.779 
 1961  286.839 
 1962  286.986 
 1963  286.779 
 1964  286.839 
 1965  286.958 
 1966  286.861 
 1967  286.705 
 1968  286.743 
 1969  286.828 
 1970  286.806 
 1971  286.783 
 1972  286.763 
 1973  286.736 
 1974  286.806 
 1975  286.719 
 1976  286.802 
 1977  286.829 
 1978  286.723 
 1979   286.81 
 1980  286.758 
 1981  286.841 
 1982  286.703 
 1983    286.6 
 1984  286.668 
 1985  286.783 
 1986  286.795 
 1987  286.672 
 1988  286.745 
 1989  286.784 
 1990  286.708 
 1991  286.701 
 1992  286.454 
 1993  286.542 
 1994  286.657 
 1995  286.693 
 1996  286.564 
 1997   286.65 
 1998   286.74 
 1999  286.773 
 2000  286.911 
 2001  286.627 
 2002  286.654 
 2003  286.661 
 2004  286.678 
 2005  286.864 
 2006  286.646 
 2007   286.54 
 2008  286.644 
 2009  286.719 
 2010  286.581 
 2011  286.651 
 2012  286.658 
 2013  286.634 
 2014  286.701 
 2015  286.561 
 2016  286.626 
 2017  286.641 
 2018  286.652 
 2019  286.801 
 2020  286.512 
