#      year    tas (K) 
 1850  286.874 
 1851  286.971 
 1852   286.96 
 1853  286.923 
 1854   286.86 
 1855  286.881 
 1856  286.916 
 1857  286.876 
 1858  286.726 
 1859  286.786 
 1860  286.781 
 1861   286.81 
 1862  286.779 
 1863  286.724 
 1864  286.816 
 1865  286.822 
 1866  286.875 
 1867  286.841 
 1868  286.851 
 1869  286.872 
 1870  286.883 
 1871  287.036 
 1872  287.046 
 1873  287.032 
 1874  286.916 
 1875  286.904 
 1876   286.94 
 1877   287.05 
 1878  286.986 
 1879  286.953 
 1880  286.757 
 1881  286.863 
 1882  286.936 
 1883  286.744 
 1884   286.33 
 1885  286.497 
 1886  286.859 
 1887  286.939 
 1888  286.796 
 1889    286.9 
 1890  287.008 
 1891  286.796 
 1892  286.814 
 1893  286.747 
 1894  286.849 
 1895  286.903 
 1896  286.952 
 1897  286.864 
 1898  286.824 
 1899  286.946 
 1900   287.11 
 1901  287.044 
 1902  287.032 
 1903  286.821 
 1904  286.972 
 1905  286.887 
 1906  286.838 
 1907  286.869 
 1908  287.002 
 1909  287.015 
 1910  286.887 
 1911  286.899 
 1912  286.883 
 1913   286.87 
 1914  286.877 
 1915   286.83 
 1916  286.946 
 1917  287.095 
 1918  286.955 
 1919  286.987 
 1920  286.971 
 1921  286.982 
 1922  287.038 
 1923  287.022 
 1924  287.139 
 1925  287.129 
 1926  287.027 
 1927  287.011 
 1928  287.066 
 1929  287.158 
 1930  286.942 
 1931   286.94 
 1932  287.017 
 1933  286.922 
 1934  286.988 
 1935  286.876 
 1936  286.989 
 1937  287.033 
 1938  286.988 
 1939  286.967 
 1940  287.056 
 1941  286.998 
 1942  286.969 
 1943  287.009 
 1944  286.994 
 1945  286.916 
 1946  286.992 
 1947  287.065 
 1948  287.086 
 1949  287.054 
 1950  286.873 
 1951  286.936 
 1952  286.998 
 1953  287.013 
 1954   286.89 
 1955  286.869 
 1956   286.93 
 1957  286.961 
 1958  287.045 
 1959  286.949 
 1960  286.932 
 1961  287.052 
 1962  287.074 
 1963  286.891 
 1964  286.642 
 1965  286.709 
 1966  286.821 
 1967   286.99 
 1968  286.853 
 1969  286.869 
 1970  286.915 
 1971  286.875 
 1972   286.77 
 1973  286.798 
 1974  287.042 
 1975  287.011 
 1976  286.775 
 1977  286.795 
 1978  286.908 
 1979  287.057 
 1980  287.065 
 1981  287.032 
 1982   286.83 
 1983  286.778 
 1984  286.793 
 1985  286.945 
 1986  286.987 
 1987  286.989 
 1988  286.937 
 1989  286.937 
 1990  287.103 
 1991  287.195 
 1992  286.691 
 1993  286.642 
 1994  286.783 
 1995  286.963 
 1996  286.848 
 1997  286.725 
 1998  286.807 
 1999  286.917 
 2000  287.094 
 2001  286.807 
 2002  286.842 
 2003  287.059 
 2004   287.13 
 2005  287.132 
 2006   287.11 
 2007  287.171 
 2008  287.087 
 2009   287.02 
 2010  286.916 
 2011  286.949 
 2012  286.983 
 2013  287.164 
 2014  287.159 
 2015   287.08 
 2016  287.091 
 2017  287.206 
 2018  287.152 
 2019  287.176 
 2020  287.176 
