#      year    tas (K) 
 1850  286.779 
 1851  286.743 
 1852  286.713 
 1853  286.735 
 1854  286.734 
 1855   286.71 
 1856  286.735 
 1857  286.871 
 1858   286.84 
 1859  286.787 
 1860  286.812 
 1861  286.639 
 1862  286.553 
 1863  286.685 
 1864   286.81 
 1865  286.688 
 1866  286.742 
 1867   286.74 
 1868  286.706 
 1869  286.776 
 1870  286.765 
 1871  286.743 
 1872  286.694 
 1873  286.627 
 1874  286.759 
 1875  286.572 
 1876  286.696 
 1877  286.871 
 1878  286.672 
 1879  286.788 
 1880  286.841 
 1881  286.732 
 1882  286.784 
 1883  286.831 
 1884  286.441 
 1885  286.633 
 1886  286.678 
 1887  286.565 
 1888  286.649 
 1889  286.594 
 1890  286.514 
 1891  286.574 
 1892  286.614 
 1893  286.736 
 1894  286.786 
 1895   286.65 
 1896   286.62 
 1897  286.705 
 1898  286.703 
 1899  286.558 
 1900  286.661 
 1901  286.732 
 1902  286.547 
 1903  286.454 
 1904  286.371 
 1905  286.381 
 1906  286.402 
 1907  286.556 
 1908  286.516 
 1909  286.461 
 1910  286.527 
 1911  286.466 
 1912  286.444 
 1913  286.521 
 1914  286.583 
 1915  286.506 
 1916   286.44 
 1917  286.622 
 1918  286.419 
 1919  286.623 
 1920  286.694 
 1921  286.697 
 1922  286.598 
 1923  286.582 
 1924  286.619 
 1925  286.636 
 1926  286.624 
 1927  286.557 
 1928  286.494 
 1929  286.546 
 1930  286.522 
 1931  286.545 
 1932  286.544 
 1933  286.605 
 1934  286.743 
 1935  286.591 
 1936  286.387 
 1937   286.52 
 1938  286.659 
 1939  286.702 
 1940  286.697 
 1941  286.686 
 1942  286.857 
 1943   286.77 
 1944  286.612 
 1945  286.838 
 1946  286.862 
 1947  286.613 
 1948  286.664 
 1949  286.862 
 1950  286.902 
 1951  286.806 
 1952  286.808 
 1953  286.689 
 1954  286.691 
 1955  286.724 
 1956  286.666 
 1957  286.755 
 1958  286.835 
 1959  286.701 
 1960  286.781 
 1961  286.858 
 1962  286.829 
 1963  286.704 
 1964  286.867 
 1965  286.822 
 1966  286.757 
 1967  286.656 
 1968  286.862 
 1969  286.997 
 1970  286.869 
 1971  286.989 
 1972  286.903 
 1973  286.818 
 1974  286.957 
 1975  287.004 
 1976  286.864 
 1977  286.952 
 1978  286.954 
 1979  286.953 
 1980  287.262 
 1981  287.191 
 1982   287.09 
 1983  287.011 
 1984  286.959 
 1985  287.153 
 1986  287.144 
 1987   287.33 
 1988  287.273 
 1989  287.202 
 1990  287.335 
 1991  287.298 
 1992  287.219 
 1993  287.316 
 1994  287.265 
 1995  287.443 
 1996  287.311 
 1997  287.369 
 1998  287.455 
 1999  287.438 
 2000  287.545 
 2001  287.688 
 2002  287.428 
 2003  287.528 
 2004  287.491 
 2005  287.415 
 2006  287.568 
 2007  287.712 
 2008   287.56 
 2009  287.554 
 2010  287.692 
 2011  287.589 
 2012  287.811 
 2013  287.715 
 2014  287.652 
