#      year    tas (K) 
 1850   286.45 
 1851  286.357 
 1852  286.321 
 1853  286.332 
 1854  286.237 
 1855  286.366 
 1856  286.361 
 1857  286.421 
 1858   286.33 
 1859  286.462 
 1860   286.35 
 1861  286.332 
 1862  286.321 
 1863  286.354 
 1864  286.389 
 1865  286.258 
 1866  286.238 
 1867  286.303 
 1868  286.223 
 1869  286.302 
 1870   286.28 
 1871  286.295 
 1872  286.431 
 1873  286.445 
 1874  286.526 
 1875  286.501 
 1876  286.384 
 1877  286.314 
 1878  286.539 
 1879  286.473 
 1880  286.316 
 1881  286.228 
 1882  286.117 
 1883  286.223 
 1884   285.92 
 1885  286.006 
 1886  286.132 
 1887  286.125 
 1888  286.228 
 1889   286.24 
 1890   286.28 
 1891  286.242 
 1892  286.358 
 1893  286.403 
 1894  286.192 
 1895  286.116 
 1896  286.312 
 1897  286.452 
 1898  286.371 
 1899  286.367 
 1900  286.366 
 1901  286.388 
 1902  286.296 
 1903  286.205 
 1904  286.234 
 1905  286.202 
 1906  286.178 
 1907  286.244 
 1908  286.392 
 1909  286.331 
 1910  286.299 
 1911  286.266 
 1912  286.202 
 1913   286.23 
 1914  286.223 
 1915  286.127 
 1916  286.293 
 1917  286.509 
 1918  286.592 
 1919  286.443 
 1920  286.296 
 1921  286.341 
 1922  286.349 
 1923  286.167 
 1924  286.372 
 1925  286.458 
 1926   286.41 
 1927  286.296 
 1928  286.299 
 1929   286.31 
 1930  286.246 
 1931  286.272 
 1932  286.281 
 1933  286.363 
 1934  286.513 
 1935  286.533 
 1936  286.467 
 1937  286.377 
 1938  286.371 
 1939  286.381 
 1940  286.327 
 1941  286.419 
 1942   286.33 
 1943  286.312 
 1944   286.24 
 1945  286.249 
 1946   286.23 
 1947  286.449 
 1948  286.559 
 1949  286.382 
 1950  286.243 
 1951  286.254 
 1952  286.386 
 1953  286.449 
 1954  286.338 
 1955  286.404 
 1956  286.337 
 1957  286.343 
 1958  286.445 
 1959   286.55 
 1960  286.635 
 1961   286.46 
 1962  286.307 
 1963   286.36 
 1964  286.307 
 1965  286.214 
 1966  286.186 
 1967  286.241 
 1968  286.266 
 1969  286.351 
 1970  286.323 
 1971  286.267 
 1972  286.308 
 1973  286.243 
 1974  286.252 
 1975  286.254 
 1976  286.285 
 1977   286.37 
 1978   286.31 
 1979  286.394 
 1980  286.427 
 1981  286.443 
 1982  286.279 
 1983  286.329 
 1984  286.443 
 1985  286.409 
 1986  286.551 
 1987  286.529 
 1988  286.542 
 1989  286.385 
 1990   286.45 
 1991  286.361 
 1992  286.103 
 1993  286.146 
 1994  286.167 
 1995  286.272 
 1996  286.261 
 1997  286.221 
 1998  286.244 
 1999   286.22 
 2000  286.352 
 2001  286.526 
 2002  286.555 
 2003  286.416 
 2004  286.401 
 2005  286.387 
 2006  286.298 
 2007  286.247 
 2008  286.204 
 2009  286.098 
 2010  286.183 
 2011  286.222 
 2012  286.229 
 2013  286.257 
 2014  286.294 
 2015  286.346 
 2016   286.51 
 2017  286.421 
 2018  286.321 
 2019  286.228 
 2020  286.205 
