#      year    tas (K) 
 1850  286.335 
 1851  286.553 
 1852  286.567 
 1853  286.509 
 1854  286.434 
 1855  286.504 
 1856  286.668 
 1857  286.564 
 1858  286.576 
 1859  286.617 
 1860  286.589 
 1861  286.525 
 1862  286.464 
 1863  286.526 
 1864  286.559 
 1865  286.374 
 1866  286.478 
 1867  286.584 
 1868  286.491 
 1869   286.43 
 1870  286.445 
 1871  286.514 
 1872  286.616 
 1873  286.598 
 1874  286.601 
 1875  286.402 
 1876  286.267 
 1877  286.391 
 1878  286.555 
 1879  286.387 
 1880  286.392 
 1881  286.551 
 1882  286.596 
 1883  286.663 
 1884  286.358 
 1885   286.25 
 1886  286.243 
 1887   286.47 
 1888  286.493 
 1889  286.525 
 1890  286.318 
 1891  286.287 
 1892  286.463 
 1893  286.571 
 1894  286.511 
 1895  286.505 
 1896  286.535 
 1897   286.58 
 1898  286.464 
 1899  286.489 
 1900  286.476 
 1901   286.37 
 1902  286.454 
 1903  286.429 
 1904  286.358 
 1905  286.304 
 1906  286.466 
 1907  286.446 
 1908  286.406 
 1909  286.283 
 1910  286.316 
 1911  286.608 
 1912  286.466 
 1913  286.228 
 1914  286.119 
 1915  286.356 
 1916  286.458 
 1917  286.432 
 1918  286.319 
 1919  286.451 
 1920  286.506 
 1921  286.505 
 1922  286.494 
 1923  286.445 
 1924  286.427 
 1925  286.317 
 1926  286.365 
 1927  286.479 
 1928  286.573 
 1929  286.545 
 1930  286.662 
 1931  286.682 
 1932  286.429 
 1933  286.401 
 1934  286.492 
 1935    286.6 
 1936  286.561 
 1937  286.527 
 1938  286.526 
 1939  286.471 
 1940  286.495 
 1941  286.603 
 1942  286.499 
 1943  286.416 
 1944   286.52 
 1945  286.515 
 1946  286.578 
 1947   286.64 
 1948  286.373 
 1949  286.516 
 1950  286.597 
 1951  286.581 
 1952  286.738 
 1953  286.829 
 1954  286.505 
 1955  286.387 
 1956  286.504 
 1957  286.522 
 1958  286.462 
 1959   286.58 
 1960   286.69 
 1961  286.608 
 1962  286.728 
 1963  286.632 
 1964  286.435 
 1965  286.457 
 1966  286.531 
 1967  286.592 
 1968  286.617 
 1969  286.591 
 1970  286.588 
 1971  286.429 
 1972  286.463 
 1973  286.539 
 1974  286.572 
 1975  286.587 
 1976  286.647 
 1977  286.581 
 1978  286.454 
 1979  286.671 
 1980  286.595 
 1981  286.609 
 1982  286.418 
 1983   286.41 
 1984   286.58 
 1985  286.452 
 1986  286.309 
 1987   286.47 
 1988  286.532 
 1989  286.459 
 1990  286.493 
 1991  286.478 
 1992  286.166 
 1993  286.187 
 1994  286.297 
 1995  286.448 
 1996    286.4 
 1997  286.556 
 1998  286.584 
 1999  286.605 
 2000  286.433 
 2001  286.581 
 2002  286.717 
 2003  286.395 
 2004   286.42 
 2005  286.441 
 2006  286.438 
 2007  286.584 
 2008  286.477 
 2009  286.365 
 2010  286.475 
 2011  286.504 
 2012  286.388 
 2013  286.501 
 2014  286.666 
 2015  286.476 
 2016   286.59 
 2017  286.413 
 2018  286.496 
 2019   286.63 
 2020  286.555 
