#      year    tas (K) 
 1850  286.863 
 1851  286.893 
 1852   286.98 
 1853  287.082 
 1854  286.881 
 1855  286.958 
 1856   286.92 
 1857  287.032 
 1858  286.923 
 1859  287.014 
 1860  287.138 
 1861  287.049 
 1862  286.832 
 1863  286.826 
 1864   286.89 
 1865  286.939 
 1866  286.874 
 1867  286.787 
 1868  286.823 
 1869  286.928 
 1870  286.888 
 1871  286.945 
 1872  287.031 
 1873  287.019 
 1874  286.978 
 1875   287.03 
 1876  287.108 
 1877  286.953 
 1878  286.946 
 1879  286.934 
 1880  286.888 
 1881  286.921 
 1882  286.988 
 1883  287.045 
 1884  286.735 
 1885  286.746 
 1886  286.825 
 1887  286.756 
 1888  286.819 
 1889  286.906 
 1890  286.887 
 1891  286.806 
 1892  286.982 
 1893  286.888 
 1894  286.909 
 1895  286.885 
 1896  286.873 
 1897  287.024 
 1898  287.044 
 1899  286.858 
 1900  286.843 
 1901  286.892 
 1902  286.799 
 1903   286.63 
 1904  286.722 
 1905    286.9 
 1906  286.778 
 1907  286.755 
 1908  286.787 
 1909  286.864 
 1910  286.871 
 1911  287.002 
 1912  286.839 
 1913  286.729 
 1914  286.675 
 1915  286.685 
 1916  286.783 
 1917  286.926 
 1918  286.946 
 1919  287.004 
 1920  286.993 
 1921  286.988 
 1922  286.856 
 1923  286.866 
 1924  286.879 
 1925   286.85 
 1926  286.914 
 1927  286.893 
 1928  286.883 
 1929  286.974 
 1930  287.013 
 1931   287.13 
 1932  286.917 
 1933  286.909 
 1934  286.909 
 1935  286.976 
 1936  287.186 
 1937  287.189 
 1938  286.808 
 1939   286.83 
 1940  286.951 
 1941  287.038 
 1942  287.156 
 1943  286.853 
 1944  286.717 
 1945  286.972 
 1946  287.005 
 1947  286.733 
 1948  286.807 
 1949  286.892 
 1950  286.998 
 1951  286.996 
 1952  286.889 
 1953  286.846 
 1954  286.885 
 1955  286.984 
 1956   286.95 
 1957  286.912 
 1958  286.953 
 1959  287.146 
 1960  287.117 
 1961  287.045 
 1962  287.034 
 1963  286.897 
 1964  286.878 
 1965  286.893 
 1966  286.998 
 1967  286.943 
 1968  286.928 
 1969  286.785 
 1970  286.834 
 1971  286.826 
 1972   286.83 
 1973  286.826 
 1974  286.938 
 1975   287.04 
 1976   286.94 
 1977  286.761 
 1978  286.763 
 1979  286.962 
 1980  287.025 
 1981  286.983 
 1982  286.879 
 1983  286.905 
 1984   287.01 
 1985  286.772 
 1986  286.754 
 1987  286.813 
 1988  286.887 
 1989  286.944 
 1990  286.976 
 1991  286.909 
 1992  286.539 
 1993  286.521 
 1994  286.784 
 1995  287.007 
 1996   286.94 
 1997  286.763 
 1998   286.67 
 1999  286.816 
 2000  286.932 
 2001  286.959 
 2002  287.031 
 2003  286.927 
 2004   287.04 
 2005  286.829 
 2006  286.798 
 2007  286.879 
 2008   286.93 
 2009  286.869 
 2010  286.894 
 2011  286.803 
 2012  286.945 
 2013  287.007 
 2014  287.098 
 2015  287.005 
 2016  286.931 
 2017  286.814 
 2018  286.755 
 2019  286.837 
 2020  286.852 
