#      year    tas (K) 
 1850   286.93 
 1851  287.011 
 1852  286.885 
 1853   286.73 
 1854  286.831 
 1855  286.986 
 1856  286.972 
 1857  286.909 
 1858  286.838 
 1859  286.991 
 1860  286.976 
 1861  286.823 
 1862    286.8 
 1863  286.923 
 1864  286.931 
 1865  287.047 
 1866  287.074 
 1867  286.913 
 1868  286.917 
 1869  286.904 
 1870  286.935 
 1871  287.007 
 1872  286.969 
 1873  286.874 
 1874  286.893 
 1875  286.839 
 1876  286.784 
 1877  286.637 
 1878  286.837 
 1879  286.996 
 1880  286.798 
 1881  286.937 
 1882  286.729 
 1883  286.702 
 1884  286.597 
 1885  286.678 
 1886  286.679 
 1887  286.755 
 1888  286.847 
 1889  286.755 
 1890  286.583 
 1891  286.653 
 1892  286.705 
 1893  286.829 
 1894  286.947 
 1895  286.791 
 1896  286.825 
 1897  286.826 
 1898  286.932 
 1899  287.071 
 1900  286.942 
 1901  286.836 
 1902  286.833 
 1903  286.664 
 1904  286.856 
 1905  286.696 
 1906  286.785 
 1907  286.857 
 1908  286.736 
 1909  286.819 
 1910  286.979 
 1911  287.025 
 1912  286.747 
 1913   286.82 
 1914      287 
 1915  286.938 
 1916  286.907 
 1917  286.759 
 1918  286.841 
 1919   286.79 
 1920  286.884 
 1921  287.029 
 1922  286.874 
 1923  286.834 
 1924  286.799 
 1925  286.804 
 1926  286.953 
 1927  286.891 
 1928  286.894 
 1929  286.687 
 1930  286.729 
 1931  286.885 
 1932  286.889 
 1933  287.035 
 1934  287.003 
 1935  287.103 
 1936   287.04 
 1937  286.834 
 1938  286.962 
 1939  287.058 
 1940  286.979 
 1941  286.998 
 1942  287.028 
 1943  287.014 
 1944      287 
 1945  286.799 
 1946  286.938 
 1947  287.015 
 1948  287.085 
 1949  286.987 
 1950  287.061 
 1951  287.031 
 1952  286.886 
 1953  286.891 
 1954  286.868 
 1955   286.86 
 1956  286.879 
 1957   286.86 
 1958   287.07 
 1959  286.969 
 1960  286.846 
 1961  286.822 
 1962  286.861 
 1963  286.797 
 1964  286.877 
 1965  286.978 
 1966   286.96 
 1967  286.802 
 1968    286.8 
 1969  286.677 
 1970  286.769 
 1971  287.001 
 1972  287.017 
 1973  286.856 
 1974  286.719 
 1975  286.878 
 1976  286.834 
 1977  286.878 
 1978  286.955 
 1979  286.958 
 1980  286.955 
 1981  286.859 
 1982  286.945 
 1983  286.795 
 1984  286.829 
 1985  287.017 
 1986  286.745 
 1987  286.763 
 1988  286.829 
 1989  286.786 
 1990  286.926 
 1991  286.869 
 1992  286.689 
 1993  286.941 
 1994  286.905 
 1995  286.959 
 1996  286.814 
 1997  286.808 
 1998  286.896 
 1999  286.636 
 2000  286.774 
 2001  286.945 
 2002  286.933 
 2003  286.915 
 2004  287.042 
 2005  287.094 
 2006  287.115 
 2007  287.083 
 2008  287.027 
 2009  287.039 
 2010  286.941 
 2011  286.911 
 2012  286.897 
 2013  286.846 
 2014  286.982 
 2015  286.939 
 2016  286.952 
 2017  287.139 
 2018  287.058 
 2019  286.949 
 2020  286.935 
