#      year    tas (K) 
 1850   286.98 
 1851  287.149 
 1852  287.067 
 1853  286.944 
 1854  286.941 
 1855  286.693 
 1856  286.832 
 1857  286.908 
 1858  286.774 
 1859   287.04 
 1860  287.036 
 1861  286.854 
 1862  286.917 
 1863  287.003 
 1864  287.004 
 1865  286.738 
 1866  286.957 
 1867  287.018 
 1868  286.905 
 1869  287.022 
 1870  286.974 
 1871   287.08 
 1872  286.965 
 1873  287.026 
 1874  286.851 
 1875  286.883 
 1876  286.918 
 1877  287.012 
 1878  287.024 
 1879  286.799 
 1880  286.858 
 1881  287.076 
 1882  286.921 
 1883  287.038 
 1884  286.743 
 1885  286.807 
 1886  286.756 
 1887  286.754 
 1888  286.773 
 1889  286.564 
 1890  286.775 
 1891  286.753 
 1892  286.603 
 1893  286.828 
 1894  286.951 
 1895  286.773 
 1896  286.667 
 1897  286.731 
 1898   286.79 
 1899  286.791 
 1900   286.72 
 1901  286.931 
 1902  286.736 
 1903  286.768 
 1904  286.761 
 1905  286.562 
 1906  286.768 
 1907  286.907 
 1908  286.828 
 1909  286.891 
 1910  286.687 
 1911  286.901 
 1912  286.815 
 1913  286.676 
 1914  286.708 
 1915  286.728 
 1916  286.577 
 1917  286.649 
 1918  286.633 
 1919  286.854 
 1920  286.783 
 1921  286.883 
 1922    286.8 
 1923  286.851 
 1924  286.737 
 1925  286.736 
 1926  286.759 
 1927  286.853 
 1928  286.966 
 1929  286.852 
 1930  286.881 
 1931  286.925 
 1932  286.892 
 1933  286.793 
 1934  286.711 
 1935  286.774 
 1936  286.745 
 1937  286.779 
 1938  286.959 
 1939  286.653 
 1940  286.891 
 1941  286.866 
 1942  286.895 
 1943  286.753 
 1944   286.89 
 1945  286.787 
 1946   286.86 
 1947  286.888 
 1948  286.829 
 1949  286.808 
 1950  286.833 
 1951  286.761 
 1952  286.723 
 1953   286.85 
 1954  286.849 
 1955  286.944 
 1956  286.719 
 1957  286.928 
 1958  286.986 
 1959  286.863 
 1960  286.948 
 1961  287.015 
 1962  286.974 
 1963  286.808 
 1964   286.85 
 1965  286.767 
 1966  286.991 
 1967  287.162 
 1968  286.902 
 1969  287.103 
 1970  286.912 
 1971  287.055 
 1972   286.93 
 1973  287.048 
 1974  287.004 
 1975  286.859 
 1976  286.905 
 1977  286.928 
 1978  287.021 
 1979  287.075 
 1980  287.071 
 1981  287.086 
 1982  287.002 
 1983  286.884 
 1984   287.05 
 1985  287.152 
 1986  287.263 
 1987  287.205 
 1988  287.271 
 1989  287.296 
 1990  287.333 
 1991  287.304 
 1992  287.265 
 1993  287.136 
 1994  287.142 
 1995  287.265 
 1996  287.279 
 1997  287.417 
 1998  287.333 
 1999  287.426 
 2000  287.483 
 2001  287.499 
 2002  287.422 
 2003  287.572 
 2004  287.688 
 2005  287.583 
 2006  287.554 
 2007  287.709 
 2008  287.757 
 2009  287.661 
 2010  287.767 
 2011   287.77 
 2012  287.782 
 2013  287.793 
 2014  287.692 
