#      year    tas (K) 
 1850  286.532 
 1851  286.286 
 1852  286.334 
 1853  286.474 
 1854   286.36 
 1855  286.308 
 1856  286.358 
 1857   286.35 
 1858  286.324 
 1859  286.453 
 1860  286.422 
 1861  286.383 
 1862  286.238 
 1863   286.37 
 1864  286.347 
 1865  286.251 
 1866  286.472 
 1867  286.606 
 1868  286.473 
 1869  286.433 
 1870  286.495 
 1871  286.406 
 1872  286.395 
 1873  286.439 
 1874   286.37 
 1875  286.497 
 1876  286.553 
 1877  286.522 
 1878   286.56 
 1879  286.505 
 1880  286.556 
 1881  286.556 
 1882  286.442 
 1883  286.582 
 1884  286.209 
 1885  286.281 
 1886  286.202 
 1887  286.344 
 1888  286.524 
 1889  286.549 
 1890  286.459 
 1891  286.283 
 1892  286.463 
 1893  286.394 
 1894   286.48 
 1895  286.618 
 1896  286.555 
 1897  286.584 
 1898  286.498 
 1899  286.556 
 1900  286.571 
 1901  286.546 
 1902  286.552 
 1903  286.379 
 1904  286.325 
 1905  286.296 
 1906  286.384 
 1907   286.44 
 1908  286.479 
 1909   286.54 
 1910   286.64 
 1911  286.623 
 1912  286.574 
 1913  286.321 
 1914   286.25 
 1915   286.39 
 1916   286.48 
 1917  286.596 
 1918  286.586 
 1919  286.569 
 1920  286.518 
 1921  286.533 
 1922   286.46 
 1923   286.52 
 1924  286.712 
 1925  286.775 
 1926  286.601 
 1927  286.546 
 1928  286.555 
 1929  286.633 
 1930  286.643 
 1931  286.578 
 1932  286.528 
 1933  286.597 
 1934    286.6 
 1935  286.571 
 1936  286.527 
 1937  286.638 
 1938  286.681 
 1939  286.681 
 1940  286.784 
 1941  286.797 
 1942  286.595 
 1943  286.668 
 1944  286.727 
 1945  286.659 
 1946  286.737 
 1947  286.687 
 1948  286.806 
 1949  286.943 
 1950  286.869 
 1951   286.78 
 1952  286.771 
 1953  286.579 
 1954  286.578 
 1955  286.636 
 1956  286.611 
 1957  286.625 
 1958  286.699 
 1959  286.815 
 1960  286.832 
 1961  286.962 
 1962  286.725 
 1963  286.505 
 1964  286.445 
 1965  286.687 
 1966  286.758 
 1967  286.619 
 1968  286.689 
 1969  286.663 
 1970  286.582 
 1971   286.57 
 1972  286.569 
 1973  286.789 
 1974  286.945 
 1975  286.887 
 1976  286.818 
 1977  286.994 
 1978   287.07 
 1979  286.807 
 1980   286.89 
 1981  286.964 
 1982  287.123 
 1983  287.025 
 1984  286.969 
 1985  287.004 
 1986   287.02 
 1987  287.162 
 1988  287.191 
 1989  287.123 
 1990  287.231 
 1991  287.246 
 1992  287.004 
 1993  286.888 
 1994  287.123 
 1995  287.235 
 1996  287.328 
 1997  287.415 
 1998  287.518 
 1999    287.6 
 2000  287.563 
 2001  287.625 
 2002  287.641 
 2003  287.676 
 2004  287.611 
 2005  287.648 
 2006  287.496 
 2007  287.532 
 2008  287.644 
 2009  287.809 
 2010   288.09 
 2011  287.962 
 2012  287.816 
 2013  288.022 
 2014  288.093 
