#      year    tas (K) 
 1850  286.774 
 1851  286.877 
 1852  286.932 
 1853   286.75 
 1854  286.702 
 1855  286.764 
 1856   286.92 
 1857  286.893 
 1858  286.825 
 1859  286.826 
 1860  286.887 
 1861   286.88 
 1862  286.736 
 1863  286.855 
 1864  286.988 
 1865  286.996 
 1866  286.973 
 1867  286.942 
 1868  286.919 
 1869  286.873 
 1870  287.015 
 1871  286.994 
 1872  286.947 
 1873  287.018 
 1874  286.868 
 1875  286.732 
 1876  286.929 
 1877  286.881 
 1878  286.946 
 1879  286.836 
 1880  286.957 
 1881  287.054 
 1882  286.905 
 1883  287.008 
 1884   286.73 
 1885  286.701 
 1886  286.749 
 1887  286.708 
 1888  286.622 
 1889  286.812 
 1890  286.769 
 1891  286.742 
 1892  286.986 
 1893  286.759 
 1894  286.794 
 1895  286.908 
 1896  286.754 
 1897  286.838 
 1898  286.843 
 1899  286.978 
 1900  286.858 
 1901  286.766 
 1902  286.708 
 1903  286.614 
 1904  286.558 
 1905   286.62 
 1906   286.69 
 1907  286.815 
 1908  286.707 
 1909  286.645 
 1910  286.766 
 1911  286.726 
 1912   286.62 
 1913  286.752 
 1914  286.758 
 1915  286.692 
 1916  286.716 
 1917  286.815 
 1918  286.987 
 1919  287.004 
 1920  286.875 
 1921  286.883 
 1922  286.729 
 1923  286.775 
 1924  286.866 
 1925  286.816 
 1926  286.846 
 1927  286.798 
 1928  286.796 
 1929  286.791 
 1930  286.613 
 1931  286.535 
 1932  286.579 
 1933  286.539 
 1934  286.518 
 1935  286.631 
 1936  286.644 
 1937  286.646 
 1938  286.579 
 1939  286.648 
 1940  286.545 
 1941  286.606 
 1942  286.542 
 1943  286.525 
 1944  286.596 
 1945  286.556 
 1946  286.504 
 1947  286.406 
 1948  286.654 
 1949  286.588 
 1950  286.621 
 1951  286.628 
 1952  286.636 
 1953  286.968 
 1954  286.937 
 1955  286.654 
 1956  286.714 
 1957  286.967 
 1958  286.902 
 1959  286.972 
 1960   286.94 
 1961  286.882 
 1962  286.676 
 1963  286.633 
 1964  286.681 
 1965  286.651 
 1966  286.836 
 1967  286.606 
 1968  286.516 
 1969  286.572 
 1970   286.68 
 1971  286.618 
 1972  286.517 
 1973  286.743 
 1974  286.916 
 1975  286.884 
 1976  286.851 
 1977   287.01 
 1978  286.894 
 1979  286.849 
 1980  286.839 
 1981  286.972 
 1982  286.877 
 1983  286.701 
 1984  286.763 
 1985  287.024 
 1986  286.993 
 1987  287.163 
 1988  287.001 
 1989  287.187 
 1990  287.273 
 1991  287.233 
 1992    286.8 
 1993  287.013 
 1994  287.054 
 1995  287.173 
 1996  287.198 
 1997  287.376 
 1998  287.472 
 1999  287.433 
 2000  287.463 
 2001  287.496 
 2002  287.653 
 2003  287.727 
 2004  287.699 
 2005  287.811 
 2006  287.813 
 2007  287.849 
 2008   287.91 
 2009  287.975 
 2010  287.986 
 2011   287.95 
 2012  288.048 
 2013  288.137 
 2014  288.111 
