#      year    tas (K) 
 1850  286.854 
 1851  286.797 
 1852  286.976 
 1853   287.01 
 1854  286.835 
 1855  286.774 
 1856  286.949 
 1857  287.008 
 1858  286.871 
 1859  286.918 
 1860  286.846 
 1861  286.769 
 1862  286.791 
 1863  286.808 
 1864  286.935 
 1865  287.004 
 1866  286.993 
 1867  286.972 
 1868  286.904 
 1869  286.946 
 1870  286.955 
 1871  286.949 
 1872  286.997 
 1873  286.919 
 1874  287.008 
 1875  287.005 
 1876  286.915 
 1877  286.928 
 1878  286.932 
 1879  287.081 
 1880  286.937 
 1881  286.914 
 1882  286.843 
 1883  286.936 
 1884  286.599 
 1885  286.663 
 1886  286.775 
 1887  286.821 
 1888  287.008 
 1889  287.083 
 1890  286.999 
 1891  287.008 
 1892      287 
 1893  287.066 
 1894  287.078 
 1895  287.112 
 1896  287.162 
 1897   287.15 
 1898  287.095 
 1899  287.229 
 1900  287.269 
 1901  287.085 
 1902  287.048 
 1903  286.933 
 1904  287.183 
 1905  287.176 
 1906  287.113 
 1907  287.128 
 1908  287.136 
 1909  287.277 
 1910  287.296 
 1911  287.293 
 1912  286.955 
 1913    286.9 
 1914  287.145 
 1915  287.203 
 1916  287.178 
 1917  287.138 
 1918  287.197 
 1919  287.294 
 1920  287.316 
 1921  287.138 
 1922   287.19 
 1923  287.269 
 1924   287.19 
 1925  287.158 
 1926  287.103 
 1927  287.241 
 1928   287.33 
 1929  287.252 
 1930  287.204 
 1931   287.27 
 1932  287.317 
 1933  287.292 
 1934  287.187 
 1935  287.185 
 1936  287.124 
 1937  287.086 
 1938  287.185 
 1939  287.216 
 1940  287.235 
 1941  287.071 
 1942  287.066 
 1943  287.171 
 1944  287.107 
 1945  286.925 
 1946  286.993 
 1947  287.165 
 1948   287.08 
 1949  287.043 
 1950  287.108 
 1951  287.043 
 1952  287.058 
 1953  287.153 
 1954  287.175 
 1955  287.126 
 1956  287.059 
 1957    287.1 
 1958    287.2 
 1959   287.26 
 1960  287.146 
 1961  287.088 
 1962  287.115 
 1963  286.986 
 1964  286.732 
 1965  286.819 
 1966  287.015 
 1967  287.072 
 1968  287.071 
 1969  287.061 
 1970  286.998 
 1971  287.014 
 1972   287.19 
 1973  287.225 
 1974  287.102 
 1975  286.958 
 1976  287.083 
 1977  287.205 
 1978  287.134 
 1979   287.08 
 1980  287.043 
 1981  287.191 
 1982  287.265 
 1983   287.04 
 1984  286.964 
 1985  287.044 
 1986  287.186 
 1987  287.206 
 1988   287.16 
 1989  287.264 
 1990  287.483 
 1991  287.493 
 1992  286.912 
 1993  286.979 
 1994  287.216 
 1995  287.214 
 1996  287.296 
 1997  287.371 
 1998  287.414 
 1999  287.442 
 2000  287.543 
 2001  287.668 
 2002  287.614 
 2003  287.569 
 2004  287.618 
 2005  287.581 
 2006   287.52 
 2007  287.558 
 2008  287.638 
 2009  287.726 
 2010  287.631 
 2011  287.659 
 2012  287.803 
 2013  287.923 
 2014  287.675 
