#      year    tas (K) 
 1850  286.322 
 1851   286.49 
 1852  286.474 
 1853  286.543 
 1854  286.614 
 1855   286.54 
 1856   286.64 
 1857  286.618 
 1858  286.566 
 1859  286.673 
 1860  286.507 
 1861  286.681 
 1862  286.329 
 1863  286.431 
 1864  286.514 
 1865  286.633 
 1866  286.725 
 1867  286.608 
 1868  286.487 
 1869  286.436 
 1870  286.538 
 1871   286.63 
 1872  286.718 
 1873  286.725 
 1874  286.647 
 1875  286.561 
 1876  286.663 
 1877  286.696 
 1878  286.575 
 1879  286.507 
 1880   286.58 
 1881  286.499 
 1882  286.362 
 1883  286.277 
 1884  286.132 
 1885  286.203 
 1886  286.322 
 1887  286.292 
 1888  286.276 
 1889  286.276 
 1890  286.461 
 1891  286.336 
 1892  286.531 
 1893  286.375 
 1894  286.499 
 1895  286.617 
 1896  286.442 
 1897  286.496 
 1898  286.488 
 1899   286.61 
 1900  286.651 
 1901  286.539 
 1902  286.516 
 1903  286.489 
 1904  286.473 
 1905  286.419 
 1906  286.429 
 1907  286.407 
 1908  286.599 
 1909  286.611 
 1910  286.607 
 1911  286.654 
 1912  286.576 
 1913  286.434 
 1914  286.461 
 1915  286.599 
 1916  286.742 
 1917    286.6 
 1918  286.573 
 1919  286.478 
 1920  286.616 
 1921   286.75 
 1922  286.443 
 1923  286.379 
 1924  286.619 
 1925  286.579 
 1926  286.665 
 1927  286.566 
 1928  286.604 
 1929  286.716 
 1930  286.617 
 1931  286.486 
 1932  286.648 
 1933  286.742 
 1934  286.765 
 1935  286.674 
 1936  286.729 
 1937  286.894 
 1938  286.846 
 1939  286.703 
 1940  286.646 
 1941  286.768 
 1942  286.994 
 1943  286.977 
 1944  286.839 
 1945  286.837 
 1946   286.78 
 1947  286.867 
 1948  286.951 
 1949  286.901 
 1950  286.772 
 1951  286.908 
 1952  287.041 
 1953  286.956 
 1954  286.851 
 1955  286.962 
 1956  286.996 
 1957  287.075 
 1958  287.123 
 1959  286.894 
 1960   286.99 
 1961  286.984 
 1962    287.2 
 1963  287.021 
 1964  286.913 
 1965  286.961 
 1966  286.963 
 1967  286.983 
 1968  286.974 
 1969  287.065 
 1970  286.885 
 1971  286.912 
 1972  287.025 
 1973  287.178 
 1974   286.95 
 1975  286.921 
 1976  287.061 
 1977   287.06 
 1978  287.015 
 1979  287.089 
 1980  287.219 
 1981  287.137 
 1982  286.898 
 1983  286.751 
 1984  286.904 
 1985   286.84 
 1986  287.097 
 1987  287.311 
 1988   287.49 
 1989  287.633 
 1990  287.267 
 1991  287.178 
 1992  287.095 
 1993  287.142 
 1994  287.231 
 1995  287.425 
 1996  287.507 
 1997  287.431 
 1998  287.341 
 1999  287.428 
 2000  287.514 
 2001  287.445 
 2002  287.358 
 2003  287.449 
 2004  287.444 
 2005  287.701 
 2006  287.729 
 2007   287.51 
 2008  287.565 
 2009  287.932 
 2010  287.996 
 2011  287.673 
 2012  287.874 
 2013  287.872 
 2014  287.759 
