#      year    tas (K) 
 1850  286.703 
 1851  286.719 
 1852  286.893 
 1853  286.995 
 1854  286.704 
 1855  286.677 
 1856   286.67 
 1857  286.678 
 1858  286.698 
 1859  286.581 
 1860  286.489 
 1861  286.586 
 1862  286.543 
 1863   286.63 
 1864  286.672 
 1865  286.647 
 1866   286.74 
 1867  286.783 
 1868  286.816 
 1869  286.746 
 1870  286.736 
 1871   286.74 
 1872  286.657 
 1873  286.715 
 1874   286.88 
 1875  286.853 
 1876  286.738 
 1877  286.742 
 1878  286.679 
 1879  286.612 
 1880  286.702 
 1881  286.789 
 1882  286.725 
 1883  286.852 
 1884  286.448 
 1885  286.479 
 1886  286.511 
 1887  286.649 
 1888  286.795 
 1889  286.745 
 1890  286.749 
 1891   286.73 
 1892   286.78 
 1893  286.602 
 1894  286.703 
 1895  286.668 
 1896  286.637 
 1897  286.616 
 1898  286.597 
 1899  286.612 
 1900  286.675 
 1901  286.749 
 1902  286.854 
 1903  286.427 
 1904  286.524 
 1905  286.642 
 1906  286.547 
 1907   286.53 
 1908  286.748 
 1909  286.811 
 1910  286.703 
 1911  286.652 
 1912   286.57 
 1913  286.702 
 1914  286.804 
 1915  286.925 
 1916  286.827 
 1917  286.894 
 1918  286.854 
 1919  286.793 
 1920  286.808 
 1921  286.845 
 1922  286.879 
 1923   286.84 
 1924  286.877 
 1925  286.875 
 1926   286.96 
 1927  287.014 
 1928  287.008 
 1929  286.989 
 1930  286.915 
 1931  286.928 
 1932  286.895 
 1933  286.907 
 1934  287.127 
 1935  287.159 
 1936  287.282 
 1937  287.164 
 1938  287.108 
 1939  286.894 
 1940  286.978 
 1941  286.971 
 1942  287.022 
 1943   287.03 
 1944   287.02 
 1945  287.001 
 1946  286.933 
 1947  287.065 
 1948  287.194 
 1949  287.051 
 1950  286.972 
 1951  287.031 
 1952  286.946 
 1953  286.924 
 1954  286.846 
 1955   286.87 
 1956  286.929 
 1957  286.864 
 1958  286.916 
 1959  287.034 
 1960  287.116 
 1961  287.125 
 1962  286.957 
 1963  286.951 
 1964  286.962 
 1965   286.95 
 1966  287.021 
 1967  286.874 
 1968   286.96 
 1969  286.992 
 1970  287.128 
 1971   287.21 
 1972  287.066 
 1973  287.048 
 1974   286.97 
 1975   286.93 
 1976  287.128 
 1977   287.14 
 1978  287.163 
 1979  287.138 
 1980  287.311 
 1981  287.271 
 1982  287.194 
 1983  287.103 
 1984  287.166 
 1985  287.264 
 1986  287.342 
 1987  287.293 
 1988  287.257 
 1989   287.27 
 1990  287.328 
 1991  287.282 
 1992  287.056 
 1993  287.017 
 1994  287.203 
 1995   287.27 
 1996  287.281 
 1997  287.179 
 1998  287.281 
 1999  287.345 
 2000  287.406 
 2001  287.476 
 2002  287.497 
 2003  287.459 
 2004  287.415 
 2005   287.47 
 2006   287.56 
 2007  287.584 
 2008  287.748 
 2009    287.8 
 2010  287.636 
 2011  287.743 
 2012  287.772 
 2013  287.769 
 2014  287.737 
