#      year    tas (K) 
 1850  286.925 
 1851   286.95 
 1852  286.884 
 1853   286.81 
 1854  286.755 
 1855  286.915 
 1856  286.917 
 1857  286.862 
 1858   286.84 
 1859  286.985 
 1860  286.844 
 1861  286.824 
 1862   286.79 
 1863  286.878 
 1864  286.764 
 1865  286.881 
 1866  286.818 
 1867  286.795 
 1868   286.88 
 1869  286.753 
 1870   286.79 
 1871  286.857 
 1872   286.71 
 1873  286.623 
 1874  286.726 
 1875  286.924 
 1876   286.85 
 1877  286.937 
 1878  286.938 
 1879  286.843 
 1880  286.926 
 1881  286.958 
 1882      287 
 1883  286.834 
 1884  286.737 
 1885  286.641 
 1886  286.801 
 1887  286.777 
 1888  286.802 
 1889    286.8 
 1890  286.794 
 1891  286.935 
 1892  286.924 
 1893  286.914 
 1894  286.966 
 1895  287.096 
 1896  287.084 
 1897  286.997 
 1898  286.995 
 1899  286.936 
 1900  286.797 
 1901  287.034 
 1902  286.986 
 1903  286.752 
 1904  286.948 
 1905  287.036 
 1906  286.902 
 1907  286.789 
 1908  286.992 
 1909  287.038 
 1910  287.058 
 1911   286.93 
 1912  286.878 
 1913  286.884 
 1914  286.889 
 1915  286.922 
 1916  286.796 
 1917  286.822 
 1918  286.869 
 1919  286.817 
 1920  286.823 
 1921   286.96 
 1922  287.056 
 1923  287.072 
 1924  286.862 
 1925  286.801 
 1926  286.865 
 1927  287.007 
 1928   286.97 
 1929  287.028 
 1930  286.973 
 1931  286.833 
 1932   286.94 
 1933  286.975 
 1934  286.941 
 1935  287.054 
 1936  287.157 
 1937  287.102 
 1938  287.169 
 1939  287.107 
 1940  287.026 
 1941   287.08 
 1942  286.991 
 1943  287.004 
 1944  287.131 
 1945  287.068 
 1946  287.194 
 1947  287.198 
 1948  287.265 
 1949   287.24 
 1950  287.233 
 1951  287.169 
 1952  287.048 
 1953  286.956 
 1954  287.066 
 1955   287.21 
 1956  287.035 
 1957  287.118 
 1958  287.183 
 1959  287.118 
 1960  287.115 
 1961  286.998 
 1962  287.043 
 1963  286.973 
 1964  286.979 
 1965  286.936 
 1966  286.979 
 1967      287 
 1968  286.945 
 1969  286.905 
 1970  286.983 
 1971  287.027 
 1972  286.966 
 1973  286.971 
 1974  287.149 
 1975  287.086 
 1976  286.862 
 1977  286.948 
 1978   287.08 
 1979   287.06 
 1980  287.044 
 1981   287.14 
 1982  287.245 
 1983  287.073 
 1984  286.982 
 1985  287.337 
 1986  287.203 
 1987  287.164 
 1988  287.239 
 1989   287.14 
 1990  287.212 
 1991  287.267 
 1992  286.975 
 1993  287.137 
 1994  287.274 
 1995  287.265 
 1996  287.196 
 1997  287.338 
 1998  287.519 
 1999  287.435 
 2000  287.552 
 2001  287.566 
 2002   287.46 
 2003  287.552 
 2004  287.628 
 2005  287.787 
 2006  287.714 
 2007  287.664 
 2008  287.763 
 2009  287.657 
 2010  287.573 
 2011  287.615 
 2012  287.723 
 2013  287.769 
 2014  287.782 
