#      year    tas (K) 
 1850  286.971 
 1851  286.979 
 1852  287.067 
 1853  287.128 
 1854  287.055 
 1855   286.92 
 1856  287.109 
 1857  287.131 
 1858  287.112 
 1859  287.144 
 1860  287.063 
 1861  287.164 
 1862  287.087 
 1863   287.11 
 1864  287.098 
 1865  286.923 
 1866  286.998 
 1867  287.009 
 1868   286.98 
 1869  286.809 
 1870  286.712 
 1871  286.876 
 1872  287.138 
 1873  287.179 
 1874   286.98 
 1875  286.947 
 1876  286.975 
 1877  287.103 
 1878  287.239 
 1879  287.047 
 1880  287.054 
 1881  286.987 
 1882   287.06 
 1883  287.101 
 1884  286.806 
 1885  286.777 
 1886   286.84 
 1887  286.932 
 1888  287.087 
 1889  287.051 
 1890  287.007 
 1891  287.208 
 1892  287.201 
 1893  286.918 
 1894  286.971 
 1895  287.036 
 1896  287.102 
 1897  286.991 
 1898  287.034 
 1899  286.956 
 1900   287.03 
 1901  286.884 
 1902  287.001 
 1903  286.997 
 1904  286.888 
 1905  286.944 
 1906  286.924 
 1907  287.088 
 1908  287.049 
 1909  286.999 
 1910  286.974 
 1911  287.016 
 1912   286.95 
 1913  287.022 
 1914   287.13 
 1915  287.147 
 1916  287.023 
 1917  286.934 
 1918  287.033 
 1919  287.152 
 1920  287.052 
 1921  286.915 
 1922  286.921 
 1923  286.953 
 1924    287.1 
 1925  287.094 
 1926  287.067 
 1927  286.928 
 1928  287.003 
 1929  286.998 
 1930  287.091 
 1931  286.921 
 1932  286.946 
 1933  286.967 
 1934  286.915 
 1935  286.962 
 1936  287.096 
 1937  286.818 
 1938   286.81 
 1939  286.979 
 1940   286.88 
 1941  286.949 
 1942  287.118 
 1943  286.925 
 1944  287.056 
 1945  286.911 
 1946  286.966 
 1947  287.078 
 1948  287.035 
 1949  286.857 
 1950  286.812 
 1951  286.818 
 1952  286.893 
 1953   286.94 
 1954   287.21 
 1955  287.043 
 1956  287.097 
 1957  287.055 
 1958  287.133 
 1959  286.999 
 1960  286.995 
 1961  286.917 
 1962  287.076 
 1963   286.85 
 1964  286.569 
 1965  286.763 
 1966  286.861 
 1967  286.694 
 1968   286.56 
 1969  286.641 
 1970  286.769 
 1971  286.685 
 1972  286.686 
 1973  286.683 
 1974  286.667 
 1975  286.796 
 1976  286.828 
 1977   286.79 
 1978  286.888 
 1979   286.81 
 1980  286.762 
 1981  286.883 
 1982  286.911 
 1983  286.921 
 1984  286.915 
 1985  286.843 
 1986  287.019 
 1987  287.004 
 1988  286.986 
 1989  287.143 
 1990  287.279 
 1991  287.094 
 1992  286.848 
 1993  287.049 
 1994  287.225 
 1995  287.216 
 1996  287.349 
 1997  287.439 
 1998  287.605 
 1999  287.555 
 2000  287.625 
 2001  287.647 
 2002  287.788 
 2003  287.666 
 2004  287.673 
 2005  287.728 
 2006   287.68 
 2007  287.753 
 2008  287.833 
 2009  287.863 
 2010  287.914 
 2011  287.971 
 2012   287.93 
 2013  288.015 
 2014  288.065 
