#      year    tas (K) 
 1850  286.973 
 1851  286.981 
 1852  287.069 
 1853  287.131 
 1854  287.057 
 1855  286.922 
 1856  287.112 
 1857  287.134 
 1858  287.114 
 1859  287.146 
 1860  287.065 
 1861  287.167 
 1862   287.09 
 1863  287.113 
 1864    287.1 
 1865  286.925 
 1866  287.001 
 1867  287.012 
 1868  286.983 
 1869  286.812 
 1870  286.714 
 1871  286.879 
 1872  287.141 
 1873  287.182 
 1874  286.983 
 1875   286.95 
 1876  286.978 
 1877  287.106 
 1878  287.242 
 1879  287.051 
 1880  287.057 
 1881  286.989 
 1882  287.063 
 1883  287.104 
 1884  286.808 
 1885   286.78 
 1886  286.842 
 1887  286.934 
 1888  287.089 
 1889  287.053 
 1890  287.009 
 1891  287.211 
 1892  287.203 
 1893  286.921 
 1894  286.974 
 1895  287.038 
 1896  287.105 
 1897  286.994 
 1898  287.037 
 1899  286.958 
 1900  287.033 
 1901  286.886 
 1902  287.003 
 1903      287 
 1904  286.891 
 1905  286.946 
 1906  286.926 
 1907   287.09 
 1908  287.051 
 1909  287.002 
 1910  286.977 
 1911  287.019 
 1912  286.953 
 1913  287.024 
 1914  287.133 
 1915   287.15 
 1916  287.025 
 1917  286.937 
 1918  287.035 
 1919  287.155 
 1920  287.055 
 1921  286.917 
 1922  286.924 
 1923  286.955 
 1924  287.103 
 1925  287.097 
 1926   287.07 
 1927  286.931 
 1928  287.006 
 1929      287 
 1930  287.094 
 1931  286.924 
 1932  286.949 
 1933   286.97 
 1934  286.917 
 1935  286.965 
 1936  287.099 
 1937  286.821 
 1938  286.812 
 1939  286.982 
 1940  286.883 
 1941  286.951 
 1942  287.121 
 1943  286.927 
 1944  287.058 
 1945  286.914 
 1946  286.969 
 1947  287.081 
 1948  287.037 
 1949  286.859 
 1950  286.815 
 1951  286.821 
 1952  286.895 
 1953  286.942 
 1954  287.213 
 1955  287.046 
 1956  287.099 
 1957  287.057 
 1958  287.136 
 1959  287.002 
 1960  286.998 
 1961   286.92 
 1962  287.079 
 1963  286.853 
 1964  286.571 
 1965  286.765 
 1966  286.863 
 1967  286.697 
 1968  286.562 
 1969  286.643 
 1970  286.771 
 1971  286.687 
 1972  286.688 
 1973  286.685 
 1974   286.67 
 1975  286.798 
 1976  286.831 
 1977  286.793 
 1978  286.891 
 1979  286.813 
 1980  286.764 
 1981  286.885 
 1982  286.914 
 1983  286.923 
 1984  286.918 
 1985  286.846 
 1986  287.022 
 1987  287.007 
 1988  286.989 
 1989  287.146 
 1990  287.282 
 1991  287.098 
 1992   286.85 
 1993  287.052 
 1994  287.228 
 1995  287.218 
 1996  287.351 
 1997  287.441 
 1998  287.608 
 1999  287.557 
 2000  287.628 
 2001   287.65 
 2002   287.79 
 2003  287.668 
 2004  287.676 
 2005  287.731 
 2006  287.683 
 2007  287.755 
 2008  287.836 
 2009  287.866 
 2010  287.917 
 2011  287.974 
 2012  287.933 
 2013  288.018 
 2014  288.067 
