#      year    tas (K) 
 1601  286.876 
 1602  286.774 
 1603  286.763 
 1604  286.681 
 1605  286.686 
 1606  286.756 
 1607  286.721 
 1608   286.62 
 1609  286.736 
 1610  286.692 
 1611  286.675 
 1612   286.64 
 1613  286.755 
 1614  286.643 
 1615  286.757 
 1616  286.888 
 1617  286.832 
 1618  286.666 
 1619  286.647 
 1620   286.76 
 1621  286.641 
 1622  286.627 
 1623  286.679 
 1624  286.635 
 1625  286.602 
 1626  286.778 
 1627   286.68 
 1628   286.69 
 1629  286.827 
 1630  286.778 
 1631  286.744 
 1632   286.83 
 1633  286.743 
 1634  286.736 
 1635  286.667 
 1636  286.594 
 1637  286.573 
 1638  286.473 
 1639   286.57 
 1640  286.371 
 1641  286.541 
 1642  286.626 
 1643  286.558 
 1644  286.471 
 1645  286.541 
 1646  286.499 
 1647  286.517 
 1648   286.46 
 1649  286.467 
 1650  286.445 
 1651  286.543 
 1652  286.483 
 1653  286.571 
 1654  286.508 
 1655  286.495 
 1656  286.527 
 1657  286.489 
 1658  286.671 
 1659  286.654 
 1660  286.459 
 1661  286.526 
 1662  286.549 
 1663  286.388 
 1664  286.508 
 1665  286.674 
 1666  286.607 
 1667  286.565 
 1668  286.609 
 1669  286.514 
 1670  286.578 
 1671  286.658 
 1672  286.403 
 1673   286.42 
 1674  286.619 
 1675  286.491 
 1676  286.525 
 1677  286.526 
 1678  286.597 
 1679  286.478 
 1680  286.605 
 1681  286.545 
 1682  286.659 
 1683  286.578 
 1684  286.589 
 1685  286.581 
 1686   286.54 
 1687  286.571 
 1688  286.549 
 1689  286.713 
 1690  286.515 
 1691  286.456 
 1692  286.615 
 1693  286.436 
 1694  286.541 
 1695   286.65 
 1696  286.658 
 1697   286.57 
 1698  286.578 
 1699  286.557 
 1700  286.745 
 1701  286.491 
 1702  286.653 
 1703  286.707 
 1704  286.624 
 1705  286.556 
 1706  286.656 
 1707  286.764 
 1708  286.693 
 1709  286.823 
 1710  286.778 
 1711  286.725 
 1712  286.767 
 1713  286.846 
 1714  286.858 
 1715  286.758 
 1716  286.764 
 1717  286.785 
 1718  286.736 
 1719  286.661 
 1720  286.715 
 1721  286.754 
 1722   286.85 
 1723  286.747 
 1724  286.816 
 1725   286.88 
 1726  286.901 
 1727  287.019 
 1728  286.764 
 1729  286.764 
 1730  286.758 
 1731  286.789 
 1732  286.744 
 1733  286.858 
 1734  287.013 
 1735  286.806 
 1736  286.877 
 1737  286.756 
 1738  286.847 
 1739  286.949 
 1740  286.871 
 1741   286.77 
 1742  286.769 
 1743  286.855 
 1744  286.937 
 1745  286.928 
 1746  286.795 
 1747  286.746 
 1748  286.725 
 1749  286.902 
 1750  286.833 
 1751  286.836 
 1752  286.674 
 1753  286.868 
 1754  286.701 
 1755  286.583 
 1756  286.766 
 1757  286.711 
 1758  286.736 
 1759  286.769 
 1760  286.784 
 1761  286.665 
 1762  286.871 
 1763  286.764 
 1764  286.704 
 1765  286.814 
 1766  286.723 
 1767  286.753 
 1768  286.551 
 1769  286.762 
 1770  286.681 
 1771  286.693 
 1772  286.737 
 1773  286.638 
 1774  286.567 
 1775  286.605 
 1776  286.558 
 1777  286.534 
 1778  286.662 
 1779  286.719 
 1780  286.651 
 1781  286.508 
 1782   286.64 
 1783  286.636 
 1784  286.556 
 1785  286.501 
 1786  286.545 
 1787  286.578 
 1788  286.601 
 1789  286.312 
 1790  286.444 
 1791  286.546 
 1792  286.489 
 1793  286.409 
 1794   286.49 
 1795  286.454 
 1796  286.401 
 1797  286.446 
 1798  286.538 
 1799    286.5 
 1800  286.543 
 1801  286.454 
 1802  286.396 
 1803   286.46 
 1804   286.54 
 1805  286.525 
 1806  286.364 
 1807  286.477 
 1808  286.453 
 1809   286.33 
 1810  286.405 
 1811  286.534 
 1812  286.531 
 1813  286.619 
 1814   286.59 
 1815  286.546 
 1816  286.587 
 1817  286.399 
 1818  286.375 
 1819  286.497 
 1820  286.487 
 1821  286.516 
 1822  286.535 
 1823  286.568 
 1824  286.485 
 1825   286.49 
 1826  286.418 
 1827  286.503 
 1828  286.392 
 1829  286.467 
 1830  286.558 
 1831  286.623 
 1832  286.689 
 1833  286.507 
 1834  286.558 
 1835  286.597 
 1836  286.542 
 1837  286.686 
 1838  286.557 
 1839  286.366 
 1840   286.63 
 1841  286.615 
 1842    286.4 
 1843  286.555 
 1844  286.671 
 1845  286.654 
 1846  286.656 
 1847   286.55 
 1848  286.609 
 1849  286.607 
 1850  286.639 
 1851   286.77 
 1852  286.819 
 1853  286.753 
 1854  286.653 
 1855   286.77 
 1856  286.806 
 1857  286.898 
 1858  286.726 
 1859  286.836 
 1860  286.852 
 1861  286.736 
 1862  286.675 
 1863  286.889 
 1864  287.087 
 1865  286.899 
 1866  286.873 
 1867  286.972 
 1868  286.963 
 1869  286.807 
 1870  286.798 
 1871  286.925 
 1872  287.014 
 1873   286.94 
 1874  286.824 
 1875  286.882 
 1876  286.861 
 1877  286.856 
 1878  286.867 
 1879  286.927 
 1880  286.907 
 1881  286.909 
 1882  286.866 
 1883   286.89 
 1884  286.761 
 1885  286.739 
 1886  286.794 
 1887  286.839 
 1888  286.814 
 1889  286.674 
 1890  286.842 
 1891  286.945 
 1892  286.798 
 1893  286.708 
 1894  286.804 
 1895  286.719 
 1896  286.836 
 1897  286.797 
 1898  286.697 
 1899  286.761 
 1900  286.765 
 1901  286.604 
 1902  286.752 
 1903  286.871 
 1904  286.688 
 1905  286.753 
 1906  286.809 
 1907  286.786 
 1908  286.656 
 1909  286.639 
 1910  286.831 
 1911  286.615 
 1912  286.704 
 1913  286.801 
 1914   286.66 
 1915   286.58 
 1916  286.754 
 1917  286.659 
 1918  286.726 
 1919  286.689 
 1920  286.713 
 1921  286.667 
 1922  286.622 
 1923  286.639 
 1924  286.598 
 1925  286.535 
 1926  286.643 
 1927  286.626 
 1928  286.615 
 1929  286.609 
 1930  286.768 
 1931   286.57 
 1932  286.655 
 1933  286.724 
 1934   286.77 
 1935   286.79 
 1936  286.784 
 1937  286.756 
 1938  286.712 
 1939  286.714 
 1940  286.725 
 1941  286.677 
 1942  286.765 
 1943  286.761 
 1944  286.755 
 1945  286.926 
 1946  286.792 
 1947  286.771 
 1948  286.779 
 1949  286.863 
 1950  286.768 
 1951  286.768 
 1952  286.707 
 1953  286.704 
 1954  286.793 
 1955  286.796 
 1956  286.698 
 1957  286.839 
 1958  286.676 
 1959  286.733 
 1960   286.69 
 1961  286.796 
 1962  286.618 
 1963  286.733 
 1964  286.761 
 1965  286.738 
 1966  286.648 
 1967  286.805 
 1968  286.758 
 1969  286.747 
 1970  286.749 
 1971  286.839 
 1972  286.845 
 1973  286.886 
 1974  286.805 
 1975  286.601 
 1976  286.803 
 1977  286.705 
 1978  286.798 
 1979  286.783 
 1980  286.785 
 1981  286.951 
 1982  286.717 
 1983  286.558 
 1984  286.693 
 1985  286.762 
 1986  286.631 
 1987  286.648 
 1988  286.778 
 1989  286.805 
 1990  286.736 
 1991   286.77 
 1992  286.702 
 1993   286.76 
 1994  286.686 
 1995  286.788 
 1996  286.905 
 1997  286.764 
 1998  286.781 
 1999  286.628 
 2000  286.804 
 2001  286.819 
 2002  286.839 
 2003  286.884 
 2004  286.666 
 2005   286.81 
 2006  286.744 
 2007  286.807 
 2008  286.808 
 2009  286.818 
 2010  286.934 
 2011  286.764 
 2012  286.796 
 2013  286.931 
 2014  286.889 
 2015  286.731 
