#      year    tas (K) 
 1601  286.931 
 1602   286.82 
 1603  286.871 
 1604   286.82 
 1605  286.962 
 1606  287.027 
 1607  286.847 
 1608   286.89 
 1609  287.051 
 1610  286.829 
 1611  286.919 
 1612  287.014 
 1613  286.913 
 1614  286.976 
 1615  286.971 
 1616  286.989 
 1617  286.873 
 1618   286.82 
 1619  286.797 
 1620  286.798 
 1621  286.796 
 1622  286.883 
 1623  286.899 
 1624  287.022 
 1625  286.926 
 1626  287.037 
 1627  287.007 
 1628  286.952 
 1629  287.064 
 1630   287.15 
 1631   287.05 
 1632   287.14 
 1633  287.155 
 1634  287.075 
 1635  287.053 
 1636  287.079 
 1637  286.986 
 1638  287.104 
 1639   287.02 
 1640  286.993 
 1641  287.026 
 1642  286.899 
 1643  286.913 
 1644  286.919 
 1645  286.861 
 1646  286.967 
 1647  286.758 
 1648  286.873 
 1649  286.976 
 1650  286.846 
 1651   286.74 
 1652  286.831 
 1653  286.755 
 1654  286.896 
 1655  286.821 
 1656    286.9 
 1657  286.845 
 1658   286.85 
 1659  286.865 
 1660  286.805 
 1661  286.838 
 1662      287 
 1663  286.818 
 1664  286.833 
 1665  286.796 
 1666  286.905 
 1667  286.821 
 1668  286.768 
 1669  286.787 
 1670  286.657 
 1671  286.769 
 1672  286.913 
 1673  286.786 
 1674  286.728 
 1675  286.835 
 1676  286.836 
 1677  286.844 
 1678  286.794 
 1679  286.778 
 1680  286.814 
 1681  286.758 
 1682  286.722 
 1683  286.814 
 1684  286.684 
 1685    286.6 
 1686  286.673 
 1687  286.732 
 1688   286.78 
 1689  286.652 
 1690  286.708 
 1691  286.823 
 1692  286.545 
 1693  286.702 
 1694  286.735 
 1695  286.574 
 1696  286.776 
 1697  286.733 
 1698  286.845 
 1699  286.599 
 1700  286.728 
 1701  286.801 
 1702  286.757 
 1703  286.785 
 1704  286.692 
 1705  286.663 
 1706  286.615 
 1707  286.647 
 1708  286.693 
 1709  286.571 
 1710   286.54 
 1711  286.662 
 1712  286.724 
 1713  286.619 
 1714  286.526 
 1715  286.662 
 1716  286.678 
 1717  286.476 
 1718  286.646 
 1719  286.804 
 1720  286.664 
