#      year    tas (K) 
 1601  286.508 
 1602  286.473 
 1603  286.487 
 1604  286.382 
 1605  286.452 
 1606  286.333 
 1607  286.342 
 1608  286.442 
 1609  286.413 
 1610  286.298 
 1611  286.159 
 1612   286.14 
 1613    286.2 
 1614  286.268 
 1615  286.384 
 1616   286.37 
 1617  286.354 
 1618  286.392 
 1619  286.489 
 1620  286.266 
 1621   286.23 
 1622  286.274 
 1623  286.274 
 1624  286.303 
 1625  286.291 
 1626  286.358 
 1627  286.469 
 1628  286.326 
 1629  286.319 
 1630  286.334 
 1631  286.298 
 1632  286.264 
 1633  286.237 
 1634  286.364 
 1635  286.273 
 1636  286.115 
 1637  286.185 
 1638  286.229 
 1639  286.329 
 1640  286.418 
 1641  286.382 
 1642  286.191 
 1643  286.205 
 1644  286.279 
 1645  286.411 
 1646  286.309 
 1647  286.279 
 1648  286.108 
 1649  286.164 
 1650  286.287 
 1651  286.349 
 1652  286.182 
 1653  286.274 
 1654  286.343 
 1655  286.372 
 1656  286.369 
 1657  286.299 
 1658  286.355 
 1659  286.455 
 1660  286.338 
 1661  286.269 
 1662  286.323 
 1663  286.304 
 1664  286.322 
 1665  286.307 
 1666  286.293 
 1667  286.347 
 1668  286.313 
 1669   286.36 
 1670  286.218 
 1671  286.202 
 1672  286.306 
 1673  286.251 
 1674   286.29 
 1675  286.333 
 1676  286.221 
 1677  286.081 
 1678  286.249 
 1679  286.204 
 1680  286.307 
 1681  286.307 
 1682  286.319 
 1683  286.246 
 1684  286.215 
 1685  286.259 
 1686  286.367 
 1687  286.348 
 1688  286.314 
 1689   286.11 
 1690  286.335 
 1691  286.437 
 1692  286.411 
 1693  286.278 
 1694  286.178 
 1695  286.033 
 1696  286.195 
 1697  286.409 
 1698  286.436 
 1699  286.445 
 1700  286.291 
 1701  286.327 
 1702  286.583 
 1703  286.475 
 1704  286.336 
 1705  286.287 
 1706  286.284 
 1707  286.178 
 1708  286.308 
 1709  286.492 
 1710    286.4 
 1711  286.441 
 1712  286.431 
 1713  286.339 
 1714  286.197 
 1715    286.2 
 1716  286.501 
 1717  286.433 
 1718  286.453 
 1719   286.27 
 1720  286.391 
 1721  286.416 
 1722  286.387 
 1723  286.447 
 1724  286.413 
 1725   286.28 
 1726  286.359 
 1727  286.451 
 1728  286.335 
 1729  286.339 
 1730   286.48 
 1731  286.421 
 1732  286.414 
 1733  286.354 
 1734  286.292 
 1735  286.354 
 1736  286.291 
 1737  286.381 
 1738  286.305 
 1739  286.105 
 1740  286.292 
 1741  286.367 
 1742  286.398 
 1743  286.494 
 1744  286.384 
 1745  286.372 
 1746   286.37 
 1747  286.315 
 1748  286.302 
 1749  286.274 
 1750   286.35 
 1751  286.279 
 1752  286.096 
 1753  286.124 
 1754  286.275 
 1755   286.26 
 1756  286.291 
 1757  286.517 
 1758  286.431 
 1759  286.239 
 1760  286.314 
 1761  286.425 
 1762  286.393 
 1763  286.176 
 1764  286.355 
 1765  286.322 
 1766  286.251 
 1767  286.093 
 1768  286.143 
 1769  286.312 
 1770  286.522 
 1771   286.41 
 1772  286.296 
 1773  286.327 
 1774  286.255 
 1775  286.178 
 1776  286.176 
 1777  286.286 
 1778  286.328 
 1779  286.272 
 1780  286.105 
 1781   286.26 
 1782  286.337 
 1783   286.47 
 1784  286.352 
 1785  286.313 
 1786  286.319 
 1787  286.463 
 1788  286.271 
 1789  286.416 
 1790  286.518 
 1791  286.526 
 1792  286.302 
 1793   286.32 
 1794  286.495 
 1795  286.526 
 1796   286.45 
 1797  286.375 
 1798  286.173 
 1799  286.273 
 1800   286.34 
 1801   286.38 
 1802  286.407 
 1803  286.477 
 1804  286.333 
 1805  286.263 
 1806  286.384 
 1807  286.353 
 1808  286.388 
 1809   286.39 
 1810  286.446 
 1811  286.273 
 1812  286.387 
 1813  286.414 
 1814  286.412 
 1815  286.316 
 1816  286.312 
 1817  286.266 
 1818  286.187 
 1819  286.334 
 1820  286.253 
 1821  286.249 
 1822  286.303 
 1823  286.234 
 1824  286.154 
 1825  286.321 
 1826  286.258 
 1827  286.179 
 1828  286.197 
 1829  286.177 
 1830   286.33 
 1831  286.315 
 1832  286.214 
 1833  286.139 
 1834  286.189 
 1835    286.3 
 1836   286.34 
 1837  286.313 
 1838  286.335 
 1839  286.384 
 1840  286.282 
 1841  286.329 
 1842   286.33 
 1843  286.267 
 1844  286.291 
 1845  286.505 
 1846  286.402 
 1847  286.371 
 1848  286.211 
 1849  286.219 
 1850  286.153 
 1851  286.147 
 1852  286.286 
 1853  286.569 
 1854  286.416 
 1855  286.206 
 1856  286.229 
 1857  286.339 
 1858  286.305 
 1859  286.339 
 1860  286.341 
 1861  286.269 
 1862  286.378 
 1863  286.335 
