#      year    tas (K) 
 1601  286.583 
 1602    286.7 
 1603  286.698 
 1604  286.827 
 1605  286.869 
 1606  286.885 
 1607  286.944 
 1608  286.743 
 1609  286.832 
 1610  286.981 
 1611  286.867 
 1612   286.83 
 1613  286.701 
 1614  286.885 
 1615  286.995 
 1616  286.886 
 1617  286.982 
 1618  286.996 
 1619  287.062 
 1620  286.986 
 1621  287.081 
 1622  287.044 
 1623  286.958 
 1624  287.056 
 1625  286.891 
 1626  286.857 
 1627  287.063 
 1628  287.157 
 1629   286.95 
 1630   286.79 
 1631   286.87 
 1632  287.022 
 1633  287.126 
 1634  287.072 
 1635  287.021 
 1636  287.014 
 1637  286.963 
 1638  287.032 
 1639  287.044 
 1640  286.944 
 1641  286.988 
 1642  286.981 
 1643  286.979 
 1644  286.971 
 1645  286.957 
 1646  286.955 
 1647  287.081 
 1648  287.057 
 1649  287.086 
 1650  287.055 
 1651  287.126 
 1652  287.056 
 1653  287.068 
 1654  287.033 
 1655  287.036 
 1656  287.057 
 1657  287.078 
 1658  287.045 
 1659  286.927 
 1660  286.904 
 1661  286.754 
 1662  286.792 
 1663  286.894 
 1664  286.761 
 1665  286.842 
 1666  286.845 
 1667  286.888 
 1668  286.906 
 1669  286.898 
 1670  287.015 
 1671  286.975 
 1672  286.985 
 1673  286.939 
 1674  286.963 
 1675  286.831 
 1676  286.882 
 1677  286.847 
 1678   286.83 
 1679  286.864 
 1680  286.843 
 1681  286.894 
 1682  286.906 
 1683  287.014 
 1684  286.877 
 1685  286.785 
 1686  286.726 
 1687  286.791 
 1688  286.872 
 1689  286.801 
 1690  286.834 
 1691  286.934 
 1692   286.96 
 1693  286.894 
 1694  286.923 
 1695  286.962 
 1696  286.977 
 1697  286.917 
 1698  287.108 
 1699  287.009 
 1700  287.017 
 1701  286.913 
 1702  286.952 
 1703  286.828 
 1704  286.733 
 1705   286.78 
 1706   286.88 
 1707  286.859 
 1708  286.701 
 1709  286.713 
 1710  286.876 
 1711  286.902 
 1712  286.779 
 1713  286.796 
 1714  286.911 
 1715  286.896 
 1716  286.988 
 1717   286.74 
 1718  286.776 
 1719  286.726 
 1720  286.636 
 1721  286.728 
 1722  286.538 
 1723  286.643 
 1724  286.649 
 1725   286.62 
 1726  286.687 
 1727  286.599 
 1728  286.601 
 1729  286.691 
 1730  286.807 
 1731  286.511 
 1732  286.717 
 1733   286.72 
 1734  286.662 
 1735  286.645 
 1736  286.533 
 1737  286.537 
 1738   286.63 
 1739   286.67 
 1740  286.473 
 1741  286.403 
 1742  286.522 
 1743  286.393 
 1744  286.528 
 1745  286.507 
 1746  286.445 
 1747  286.642 
 1748  286.536 
 1749  286.331 
 1750  286.278 
 1751  286.396 
 1752  286.499 
 1753  286.342 
 1754  286.353 
 1755  286.566 
 1756  286.517 
 1757  286.474 
 1758  286.567 
 1759  286.603 
 1760  286.489 
 1761  286.398 
 1762  286.491 
 1763  286.527 
 1764  286.495 
 1765  286.611 
 1766  286.539 
 1767  286.528 
 1768  286.519 
 1769  286.397 
 1770  286.491 
 1771  286.522 
 1772  286.372 
 1773  286.506 
 1774  286.477 
 1775  286.445 
 1776  286.442 
 1777  286.427 
 1778  286.354 
 1779  286.366 
 1780  286.375 
 1781  286.395 
 1782  286.343 
 1783  286.468 
 1784  286.437 
 1785  286.371 
 1786  286.508 
 1787    286.6 
 1788  286.559 
 1789  286.533 
 1790  286.573 
 1791  286.548 
 1792  286.535 
 1793  286.473 
 1794  286.641 
 1795  286.685 
 1796  286.568 
 1797  286.563 
 1798  286.624 
 1799  286.698 
 1800  286.619 
 1801  286.528 
 1802  286.423 
 1803  286.541 
 1804  286.542 
 1805  286.627 
 1806  286.475 
 1807  286.501 
 1808  286.591 
 1809  286.611 
 1810  286.875 
 1811  286.895 
 1812  286.625 
 1813  286.508 
 1814  286.586 
 1815  286.552 
 1816  286.627 
 1817  286.653 
 1818  286.794 
 1819   286.89 
 1820  286.926 
 1821  286.893 
 1822  287.069 
 1823  286.971 
 1824  286.813 
 1825  286.895 
