#      year    tas (K) 
 1601   286.88 
 1602   286.93 
 1603  286.862 
 1604  286.836 
 1605  286.891 
 1606  287.006 
 1607  287.022 
 1608  287.031 
 1609  286.834 
 1610  286.915 
 1611  286.961 
 1612   286.93 
 1613  286.865 
 1614  286.929 
 1615  286.893 
 1616  287.007 
 1617  286.968 
 1618   286.88 
 1619  286.899 
 1620  287.047 
 1621  286.856 
 1622  286.818 
 1623  286.976 
 1624  286.943 
 1625  286.891 
 1626  286.893 
 1627  286.956 
 1628  286.953 
 1629   286.78 
 1630  286.891 
 1631  286.984 
 1632  286.952 
 1633   286.85 
 1634  286.999 
 1635  286.993 
 1636  286.978 
 1637  287.021 
 1638  286.959 
 1639  286.887 
 1640  286.752 
 1641  286.924 
 1642  286.945 
 1643    286.9 
 1644  286.869 
 1645  286.925 
 1646  286.968 
 1647  286.942 
 1648  286.947 
 1649  286.949 
 1650  286.978 
 1651  286.975 
 1652  286.967 
 1653  287.008 
 1654   286.97 
 1655  286.998 
 1656  286.963 
 1657  287.055 
 1658  287.095 
 1659  287.072 
 1660  286.993 
 1661   287.11 
 1662  287.163 
 1663  287.068 
 1664  286.856 
 1665  287.037 
 1666  287.101 
 1667  287.007 
 1668  286.969 
 1669  287.086 
 1670  287.083 
 1671  287.047 
 1672  286.913 
 1673  286.897 
 1674  286.972 
 1675   287.04 
 1676  286.963 
 1677  286.893 
 1678  286.926 
 1679  286.896 
 1680  286.875 
 1681  286.872 
 1682   286.87 
 1683  286.889 
 1684  287.067 
 1685  286.858 
 1686  286.741 
 1687  286.905 
 1688  286.964 
 1689  286.968 
 1690  286.943 
 1691  286.991 
 1692  286.941 
 1693  286.913 
 1694  286.847 
 1695  286.858 
 1696   286.81 
 1697  286.757 
 1698  286.748 
 1699  286.883 
 1700  286.942 
 1701  286.896 
 1702  286.765 
 1703  286.838 
 1704  286.964 
 1705  286.906 
 1706  286.799 
 1707  286.857 
 1708  286.829 
 1709  286.865 
 1710  286.841 
 1711  286.895 
 1712  286.811 
 1713  286.786 
 1714  286.837 
 1715  286.876 
 1716  286.797 
 1717  286.844 
 1718  286.952 
 1719  286.952 
 1720  286.831 
 1721   286.82 
 1722  286.915 
 1723  286.746 
 1724  286.755 
 1725  286.781 
 1726  286.961 
 1727  287.025 
 1728  286.815 
 1729  286.793 
 1730    286.9 
 1731  286.979 
 1732  286.882 
 1733  286.988 
 1734  287.143 
 1735  286.972 
 1736  286.812 
 1737  286.962 
 1738  287.062 
 1739  286.979 
 1740  286.941 
 1741  286.859 
 1742  286.953 
 1743  287.007 
 1744  286.801 
 1745  286.806 
 1746  286.755 
 1747  286.765 
 1748  286.783 
 1749  286.799 
 1750  286.704 
 1751  286.784 
 1752  286.897 
 1753  286.832 
 1754  286.759 
 1755   286.72 
 1756  286.583 
 1757  286.831 
 1758  286.847 
 1759  286.845 
 1760   286.75 
 1761  286.665 
 1762  286.709 
 1763   286.92 
 1764  286.827 
 1765  286.779 
 1766  286.722 
 1767  286.858 
 1768  287.016 
 1769  286.983 
 1770  286.963 
 1771  286.911 
 1772  286.939 
 1773  287.104 
 1774  286.961 
 1775  286.807 
 1776  286.768 
 1777  286.851 
 1778  286.818 
 1779    286.7 
 1780  286.646 
 1781  286.741 
 1782  286.868 
 1783  286.773 
 1784  286.761 
 1785  286.741 
 1786  286.715 
 1787  286.727 
 1788  286.696 
 1789  286.906 
 1790  287.036 
 1791  286.918 
 1792  286.955 
 1793   286.93 
 1794  286.725 
 1795  286.744 
 1796  286.817 
 1797  286.739 
 1798  286.803 
 1799  286.959 
 1800  286.955 
 1801  286.773 
 1802  286.831 
 1803    286.7 
 1804   286.88 
 1805  286.861 
 1806  286.902 
 1807  286.812 
 1808  286.949 
 1809    286.9 
 1810  287.023 
 1811  286.956 
