#      year    tas (K) 
 1601  286.432 
 1602  286.501 
 1603  286.519 
 1604  286.693 
 1605  286.688 
 1606  286.439 
 1607  286.568 
 1608  286.814 
 1609  286.444 
 1610  286.467 
 1611  286.564 
 1612  286.461 
 1613  286.299 
 1614  286.522 
 1615    286.5 
 1616  286.446 
 1617  286.522 
 1618  286.671 
 1619   286.68 
 1620  286.584 
 1621  286.685 
 1622  286.614 
 1623  286.472 
 1624  286.629 
 1625  286.829 
 1626  286.724 
 1627  286.634 
 1628  286.596 
 1629  286.396 
 1630  286.544 
 1631  286.487 
 1632  286.336 
 1633  286.324 
 1634  286.396 
 1635  286.371 
 1636  286.437 
 1637  286.456 
 1638  286.691 
 1639  286.654 
 1640  286.413 
 1641  286.403 
 1642  286.369 
 1643  286.534 
 1644  286.568 
 1645  286.345 
 1646  286.399 
 1647  286.462 
 1648  286.417 
 1649  286.304 
 1650  286.252 
 1651  286.276 
 1652  286.197 
 1653  286.522 
 1654  286.323 
 1655  286.471 
 1656  286.393 
 1657    286.2 
 1658  286.333 
 1659  286.452 
 1660  286.331 
 1661  286.227 
 1662  286.148 
 1663  286.301 
 1664  286.293 
 1665  286.251 
 1666  286.212 
 1667  286.123 
 1668  286.282 
 1669  286.465 
 1670    286.3 
 1671  286.132 
 1672  286.312 
 1673  286.247 
 1674  286.385 
 1675  286.297 
 1676  286.268 
 1677  286.384 
 1678  286.509 
 1679  286.301 
 1680  286.288 
 1681  286.255 
 1682  286.317 
 1683   286.35 
 1684  286.328 
 1685  286.512 
 1686   286.35 
 1687  286.304 
 1688  286.441 
 1689  286.535 
 1690  286.517 
 1691  286.443 
 1692  286.368 
 1693  286.315 
 1694   286.29 
 1695  286.385 
 1696  286.481 
 1697  286.417 
 1698  286.322 
 1699  286.394 
 1700  286.535 
 1701   286.36 
 1702  286.312 
 1703  286.637 
 1704  286.475 
 1705  286.359 
 1706  286.601 
 1707  286.404 
 1708  286.255 
 1709  286.386 
 1710  286.433 
 1711  286.469 
 1712    286.2 
 1713  286.219 
 1714  286.345 
 1715  286.354 
 1716  286.386 
 1717  286.351 
 1718  286.456 
 1719  286.547 
 1720  286.441 
 1721  286.349 
 1722  286.302 
 1723  286.375 
 1724  286.486 
 1725   286.51 
 1726  286.288 
 1727  286.267 
 1728    286.4 
 1729  286.542 
 1730  286.325 
 1731  286.548 
 1732  286.335 
 1733  286.209 
 1734  286.267 
 1735  286.317 
 1736  286.215 
 1737  286.308 
 1738  286.438 
 1739   286.32 
 1740  286.384 
 1741  286.556 
 1742  286.463 
 1743  286.397 
 1744  286.211 
 1745  286.321 
 1746   286.35 
 1747  286.504 
 1748  286.651 
 1749  286.444 
 1750  286.273 
 1751  286.264 
 1752  286.473 
 1753  286.302 
 1754  286.318 
 1755  286.548 
 1756  286.274 
 1757  286.283 
 1758  286.398 
 1759  286.404 
 1760   286.46 
 1761  286.522 
 1762  286.571 
 1763  286.405 
 1764  286.322 
 1765  286.317 
 1766   286.46 
 1767  286.401 
 1768   286.32 
 1769  286.636 
 1770  286.486 
 1771   286.41 
 1772  286.482 
 1773  286.658 
 1774  286.673 
 1775  286.719 
 1776  286.543 
 1777  286.452 
 1778   286.56 
 1779  286.513 
 1780  286.488 
 1781  286.627 
 1782  286.467 
 1783  286.496 
 1784  286.537 
 1785  286.651 
 1786  286.693 
 1787  286.606 
 1788  286.555 
 1789  286.555 
 1790  286.652 
 1791  286.538 
 1792  286.354 
 1793  286.532 
 1794  286.609 
 1795  286.802 
 1796  286.619 
 1797  286.539 
 1798  286.761 
 1799  286.632 
 1800  286.603 
 1801  286.706 
 1802  286.563 
 1803  286.516 
 1804  286.514 
 1805  286.667 
 1806  286.474 
 1807  286.508 
 1808  286.556 
 1809  286.575 
 1810  286.614 
 1811  286.725 
 1812  286.474 
 1813  286.558 
 1814  286.532 
 1815  286.624 
 1816  286.476 
 1817  286.442 
 1818  286.549 
 1819  286.414 
 1820  286.494 
 1821  286.704 
 1822   286.63 
 1823  286.612 
 1824  286.659 
 1825  286.589 
 1826  286.481 
 1827  286.547 
