#      year    tas (K) 
 1601  286.846 
 1602  286.961 
 1603  287.004 
 1604  286.938 
 1605   287.12 
 1606  287.241 
 1607  286.823 
 1608  286.681 
 1609  286.719 
 1610  286.824 
 1611  286.994 
 1612  287.091 
 1613  286.891 
 1614  286.721 
 1615  286.757 
 1616  286.804 
 1617  286.698 
 1618  286.757 
 1619  286.854 
 1620  286.914 
 1621  286.944 
 1622   286.96 
 1623  286.952 
 1624  286.949 
 1625  287.048 
 1626  287.029 
 1627  286.934 
 1628  286.729 
 1629  286.867 
 1630  286.956 
 1631  286.947 
 1632   286.98 
 1633  286.895 
 1634  286.919 
 1635  286.929 
 1636  287.026 
 1637  286.954 
 1638  286.865 
 1639  286.839 
 1640  286.975 
 1641  287.018 
 1642  286.933 
 1643  286.911 
 1644  287.086 
 1645   287.18 
 1646  286.935 
 1647  286.803 
 1648  286.759 
 1649  286.917 
 1650   286.89 
 1651  286.878 
 1652  286.821 
 1653  286.905 
 1654  286.957 
 1655  286.785 
 1656  286.833 
 1657  286.954 
 1658  286.932 
 1659  286.811 
 1660  286.731 
 1661  286.765 
 1662  286.712 
 1663   286.77 
 1664  286.913 
 1665  287.017 
 1666  286.853 
 1667   286.73 
 1668  286.717 
 1669  286.894 
 1670  286.887 
 1671  286.801 
 1672  286.841 
 1673  286.852 
 1674  286.772 
 1675  286.803 
 1676  286.877 
 1677  287.023 
 1678   286.82 
 1679  286.866 
 1680  286.912 
 1681  286.923 
 1682  286.932 
 1683  286.991 
 1684  286.765 
 1685  286.766 
 1686  286.786 
 1687  286.822 
 1688  286.876 
 1689  286.838 
 1690  286.797 
 1691  287.064 
 1692  287.201 
 1693  286.952 
 1694  286.815 
 1695  286.906 
 1696  286.912 
 1697  286.955 
 1698   286.76 
 1699  286.692 
 1700  286.859 
 1701  286.903 
 1702  286.833 
 1703  286.824 
 1704  286.716 
 1705  286.835 
 1706  286.807 
 1707  286.859 
 1708  286.803 
 1709  286.829 
 1710  286.908 
 1711  286.816 
 1712  286.855 
 1713  286.831 
 1714  286.996 
 1715   287.08 
 1716  287.071 
 1717  286.921 
 1718  286.791 
 1719  286.934 
 1720   286.92 
 1721  286.791 
 1722   286.77 
 1723   286.82 
 1724  286.883 
 1725  286.858 
 1726  286.858 
 1727  286.831 
 1728  286.784 
 1729  286.969 
 1730  286.838 
 1731  286.734 
 1732  286.826 
 1733  287.038 
 1734   286.93 
 1735  286.697 
 1736  286.733 
 1737  286.723 
 1738  286.737 
 1739  286.865 
 1740  286.836 
 1741  286.772 
 1742  286.828 
 1743  286.764 
 1744  286.713 
 1745  286.816 
 1746  286.809 
 1747  286.776 
 1748  286.931 
 1749  286.959 
 1750  286.989 
 1751  286.854 
 1752  286.677 
 1753  286.795 
 1754  286.833 
 1755  286.816 
 1756  286.834 
 1757  286.902 
 1758  286.957 
 1759  287.082 
 1760  287.021 
 1761  286.813 
 1762  286.794 
 1763  286.929 
 1764  286.954 
 1765  286.874 
 1766  286.847 
 1767  286.834 
 1768  286.767 
 1769  286.856 
 1770  286.851 
 1771   286.88 
 1772  286.842 
 1773  287.075 
 1774  286.894 
 1775  286.691 
 1776  286.742 
 1777  286.854 
 1778  286.852 
 1779  286.778 
 1780  286.738 
 1781  286.628 
 1782  286.699 
 1783  286.753 
 1784  286.751 
 1785  286.872 
 1786  287.035 
 1787  286.854 
 1788  286.828 
 1789  286.957 
 1790  286.859 
 1791  286.804 
 1792  286.861 
 1793  286.928 
 1794  286.996 
 1795  287.013 
 1796  286.929 
 1797  286.884 
 1798  286.924 
 1799  286.921 
 1800  286.834 
 1801  286.863 
 1802  286.815 
 1803  286.825 
 1804   286.92 
 1805  287.086 
 1806  286.907 
 1807  286.682 
 1808  286.724 
 1809  286.678 
 1810  286.828 
 1811  286.878 
 1812  286.794 
 1813   286.88 
 1814  286.868 
 1815   286.96 
 1816  286.991 
 1817  287.078 
 1818  287.166 
 1819  286.836 
 1820  286.675 
 1821  286.706 
 1822  286.841 
 1823   286.86 
 1824   286.99 
 1825  287.149 
 1826  286.911 
 1827  286.822 
 1828  286.852 
 1829  286.942 
 1830  286.977 
 1831   286.89 
 1832  286.645 
 1833  286.684 
 1834  286.819 
 1835  286.883 
 1836  286.966 
 1837  286.897 
 1838  286.886 
 1839  286.892 
 1840   286.92 
 1841  286.864 
 1842  286.862 
 1843   286.91 
 1844  286.901 
 1845  286.919 
 1846  286.929 
 1847  287.017 
 1848  286.975 
 1849  286.905 
 1850  286.979 
 1851  287.048 
 1852  286.768 
 1853  286.895 
 1854  286.961 
 1855  286.929 
 1856  286.916 
 1857  287.038 
 1858  287.021 
 1859  286.909 
 1860  286.878 
 1861  286.964 
 1862  286.793 
 1863  286.797 
 1864  286.979 
 1865  287.214 
 1866  286.828 
 1867  286.687 
 1868  286.808 
 1869  286.882 
 1870  286.821 
 1871  286.848 
 1872  286.961 
 1873  287.188 
 1874  286.953 
 1875  286.728 
 1876   286.77 
 1877  286.946 
 1878  286.954 
 1879  287.029 
 1880  287.025 
 1881  287.124 
 1882   287.06 
 1883  286.913 
 1884  286.857 
 1885  286.915 
 1886  286.986 
