#      year    tas (K) 
 1601  286.738 
 1602  286.797 
 1603  286.783 
 1604  286.881 
 1605   286.75 
 1606   286.64 
 1607  286.865 
 1608   286.79 
 1609  286.646 
 1610  286.685 
 1611  286.718 
 1612  286.686 
 1613  286.891 
 1614  286.977 
 1615  286.846 
 1616  286.762 
 1617  286.745 
 1618  286.747 
 1619  286.718 
 1620  286.695 
 1621   286.78 
 1622  286.682 
 1623  286.616 
 1624  286.593 
 1625  286.595 
 1626  286.564 
 1627  286.601 
 1628  286.697 
 1629  286.782 
 1630  286.915 
 1631  286.847 
 1632   286.88 
 1633  286.888 
 1634  286.839 
 1635  286.864 
 1636  286.747 
 1637  286.746 
 1638  286.929 
 1639  286.861 
 1640  286.751 
 1641  286.768 
 1642  286.792 
 1643  286.739 
 1644   286.81 
 1645  286.832 
 1646  286.804 
 1647  286.733 
 1648   286.83 
 1649  286.872 
 1650  286.778 
 1651  286.751 
 1652  286.774 
 1653  286.888 
 1654  286.868 
 1655  286.665 
 1656  286.729 
 1657  286.812 
 1658  286.777 
 1659   286.81 
 1660  286.874 
 1661  286.787 
 1662  286.732 
 1663  286.761 
 1664  286.715 
 1665  286.725 
 1666  286.712 
 1667  286.535 
 1668  286.775 
 1669  286.699 
 1670  286.855 
 1671  286.823 
 1672  286.815 
 1673   286.57 
 1674   286.63 
 1675  286.732 
 1676  286.762 
 1677  286.738 
 1678  286.693 
 1679  286.602 
 1680  286.597 
 1681  286.626 
 1682  286.659 
 1683  286.576 
 1684  286.605 
 1685   286.59 
 1686  286.613 
 1687  286.609 
 1688  286.684 
 1689  286.639 
 1690   286.64 
 1691  286.604 
 1692  286.607 
 1693   286.72 
 1694  286.709 
 1695    286.8 
 1696  286.829 
 1697  286.684 
 1698  286.696 
 1699   286.67 
 1700  286.733 
 1701  286.644 
 1702  286.654 
 1703  286.671 
 1704  286.668 
 1705   286.69 
 1706  286.744 
 1707  286.722 
 1708  286.687 
 1709  286.747 
 1710  286.686 
 1711  286.641 
 1712  286.727 
 1713  286.607 
 1714  286.821 
 1715  286.658 
 1716  286.705 
 1717  286.617 
 1718  286.654 
 1719  286.539 
 1720  286.667 
 1721  286.701 
 1722  286.563 
 1723  286.586 
 1724  286.564 
 1725  286.589 
 1726  286.749 
 1727  286.693 
 1728  286.705 
 1729  286.607 
 1730  286.603 
 1731  286.575 
 1732  286.785 
 1733  286.694 
 1734  286.664 
 1735  286.576 
 1736  286.589 
 1737  286.608 
 1738  286.624 
 1739  286.654 
 1740  286.725 
 1741  286.801 
 1742  286.875 
 1743  286.926 
 1744  286.882 
 1745   286.75 
 1746  286.573 
 1747  286.639 
 1748  286.655 
 1749  286.783 
 1750  286.709 
 1751  286.758 
 1752   286.79 
 1753  286.793 
 1754  286.807 
 1755  286.874 
 1756   286.86 
 1757  286.805 
 1758  286.875 
 1759  286.707 
 1760  286.795 
 1761  286.834 
 1762  286.817 
 1763  286.847 
 1764  286.729 
 1765  286.754 
 1766  286.646 
 1767   286.73 
 1768  286.768 
 1769  286.772 
 1770  286.826 
 1771  286.723 
 1772  286.695 
 1773  286.787 
 1774  286.706 
 1775  286.733 
 1776  286.689 
 1777   286.67 
 1778   286.75 
 1779  286.727 
 1780  286.762 
 1781  286.682 
 1782  286.721 
 1783  286.771 
 1784  286.765 
 1785  286.974 
 1786  286.934 
 1787   286.85 
 1788  286.777 
 1789  286.875 
 1790  286.782 
 1791  286.665 
 1792  286.706 
 1793  286.847 
 1794  286.882 
 1795  286.849 
 1796  286.718 
 1797  286.743 
 1798  286.753 
 1799  286.697 
 1800   286.68 
 1801  286.594 
 1802  286.732 
 1803  286.792 
 1804  286.721 
 1805   286.81 
 1806  286.682 
 1807  286.648 
 1808  286.706 
 1809  286.764 
 1810  287.033 
 1811   286.83 
 1812  286.907 
 1813  286.777 
 1814  286.804 
 1815  286.828 
 1816  286.799 
 1817  286.784 
 1818  286.794 
 1819    286.8 
 1820  286.863 
 1821  286.767 
