#      year    tas (K) 
 1601  286.902 
 1602  286.859 
 1603  286.824 
 1604  286.835 
 1605  286.892 
 1606  286.857 
 1607   286.93 
 1608  286.885 
 1609  286.844 
 1610  286.821 
 1611  286.867 
 1612  286.844 
 1613   286.84 
 1614  286.792 
 1615  286.832 
 1616  286.996 
 1617  287.235 
 1618  287.136 
 1619  287.114 
 1620  286.947 
 1621  286.927 
 1622  286.895 
 1623   286.84 
 1624  286.838 
 1625  286.793 
 1626  286.887 
 1627  286.911 
 1628  286.848 
 1629  286.886 
 1630  287.125 
 1631   286.97 
 1632   287.02 
 1633  287.109 
 1634  286.998 
 1635  286.854 
 1636    286.9 
 1637   287.04 
 1638  286.936 
 1639  286.994 
 1640  287.067 
 1641  286.871 
 1642  286.873 
 1643  286.872 
 1644  286.864 
 1645   286.61 
 1646  286.783 
 1647  286.816 
 1648  286.787 
 1649  286.855 
 1650   286.73 
 1651  286.816 
 1652  286.788 
 1653  286.834 
 1654  286.913 
 1655  286.829 
 1656  286.829 
 1657  286.934 
 1658  286.848 
 1659  286.807 
 1660  286.829 
 1661   286.79 
 1662  286.762 
 1663  286.855 
 1664  286.903 
 1665  286.805 
 1666  286.831 
 1667   286.79 
 1668  286.883 
 1669   286.84 
 1670   286.78 
 1671  286.896 
 1672  286.909 
 1673  286.851 
 1674  286.877 
 1675  286.788 
 1676  286.776 
 1677  286.866 
 1678  286.799 
 1679   286.74 
 1680  286.755 
 1681  286.784 
 1682  286.786 
 1683  286.779 
 1684   286.83 
 1685  286.839 
 1686  286.848 
 1687  286.859 
 1688  286.729 
 1689  286.698 
 1690  286.691 
 1691  286.817 
 1692  286.853 
 1693  286.821 
 1694  286.874 
 1695  287.024 
 1696  286.885 
 1697  286.933 
 1698  286.984 
 1699  287.109 
 1700   287.11 
 1701  286.958 
 1702  286.939 
 1703  286.973 
 1704  286.886 
 1705  286.922 
 1706  286.948 
 1707  286.865 
 1708  286.877 
 1709  286.896 
 1710  286.901 
 1711  286.792 
 1712  286.868 
 1713  286.959 
 1714  286.917 
 1715  286.832 
 1716  286.808 
 1717  286.873 
 1718  286.988 
 1719  286.883 
 1720  286.897 
 1721  287.084 
 1722  286.813 
 1723  286.867 
 1724  286.917 
 1725  286.765 
 1726  286.795 
 1727  286.914 
 1728  286.913 
 1729  286.812 
 1730  286.866 
 1731  287.087 
 1732   287.04 
 1733  286.939 
 1734  286.943 
 1735  287.039 
 1736  287.025 
 1737  287.082 
 1738  286.996 
 1739  287.038 
 1740  286.999 
 1741  286.916 
 1742  286.855 
 1743  286.821 
 1744  286.879 
 1745  286.922 
 1746  286.905 
 1747  286.955 
 1748  287.011 
 1749  286.949 
 1750   286.94 
 1751  287.052 
 1752  287.056 
 1753  286.865 
 1754  286.912 
 1755  287.088 
 1756  287.212 
 1757  286.989 
 1758  287.179 
 1759  287.058 
 1760  286.967 
 1761  286.915 
 1762  286.965 
 1763  286.867 
 1764  286.956 
 1765  286.905 
 1766   286.99 
 1767  286.871 
 1768  286.887 
 1769  287.026 
 1770  287.006 
 1771  287.014 
 1772  286.996 
 1773  286.926 
 1774  286.904 
 1775  287.023 
 1776    286.9 
 1777  286.878 
 1778  286.894 
 1779  286.924 
 1780  287.005 
 1781  286.929 
 1782  286.932 
 1783  287.032 
 1784   286.87 
 1785  286.855 
 1786  286.812 
 1787  286.898 
 1788   286.98 
 1789  287.036 
 1790  286.918 
 1791  286.955 
 1792  286.763 
 1793  286.946 
 1794  286.998 
 1795  286.887 
 1796   286.85 
 1797  286.969 
 1798  287.021 
 1799  286.924 
 1800  286.966 
 1801  286.902 
 1802   286.86 
