#      year    tas (K) 
 1601  287.425 
 1602  287.177 
 1603  287.195 
 1604  287.268 
 1605  287.175 
 1606  287.204 
 1607  287.183 
 1608  287.027 
 1609   287.02 
 1610  287.001 
 1611  287.028 
 1612  287.106 
 1613  287.063 
 1614   287.15 
 1615  287.213 
 1616  287.083 
 1617  287.032 
 1618  286.901 
 1619  287.069 
 1620  287.109 
 1621   286.97 
 1622  287.056 
 1623  287.186 
 1624  287.205 
 1625  287.232 
 1626  287.049 
 1627  287.052 
 1628  287.086 
 1629  287.067 
 1630  287.087 
 1631  287.122 
 1632  287.048 
 1633  286.992 
 1634  287.073 
 1635  287.105 
 1636  287.191 
 1637  287.164 
 1638  287.105 
 1639  287.232 
 1640  287.025 
 1641  286.888 
 1642  286.978 
 1643   286.98 
 1644  287.054 
 1645  287.002 
 1646  286.931 
 1647  287.071 
 1648  286.929 
 1649  286.922 
 1650  286.815 
 1651  286.885 
 1652  287.139 
 1653  287.069 
 1654   287.13 
 1655  287.169 
 1656   287.05 
 1657  287.057 
 1658  286.992 
 1659  287.037 
 1660  287.054 
 1661  286.845 
 1662  286.885 
 1663  286.934 
 1664  286.922 
 1665  287.049 
 1666  287.024 
 1667  286.975 
 1668  286.846 
 1669  286.874 
 1670  286.875 
 1671  286.964 
 1672  286.972 
 1673  287.126 
 1674   287.08 
 1675  287.037 
 1676  286.951 
 1677  287.021 
 1678  287.089 
 1679  286.969 
 1680  287.008 
 1681  287.016 
 1682  287.097 
 1683  287.203 
 1684  287.067 
 1685  286.936 
 1686  286.897 
 1687  286.975 
 1688  286.906 
 1689  286.921 
 1690  286.921 
 1691  286.822 
 1692   286.69 
 1693  286.736 
 1694  286.901 
 1695  286.878 
 1696  286.955 
 1697  287.088 
 1698  287.143 
 1699  287.318 
 1700  287.089 
 1701  286.979 
 1702  287.021 
 1703  287.037 
 1704    286.9 
 1705  286.992 
 1706  287.118 
 1707  287.189 
 1708  286.942 
 1709  287.009 
 1710  287.057 
 1711  287.087 
 1712  287.243 
 1713  287.119 
 1714   286.98 
 1715  287.078 
 1716  287.067 
 1717  287.108 
 1718  287.076 
 1719  287.002 
 1720  287.142 
 1721  287.139 
 1722  287.206 
 1723  287.003 
 1724  287.016 
 1725  287.095 
 1726  287.015 
 1727  287.019 
 1728  287.029 
 1729  287.033 
 1730  286.947 
 1731  287.019 
 1732  287.097 
 1733    287.1 
 1734  287.124 
 1735  287.093 
 1736  287.011 
 1737  286.973 
 1738  286.957 
 1739  286.951 
 1740  287.062 
 1741  287.091 
 1742  286.939 
 1743   286.96 
 1744   287.07 
 1745   287.06 
 1746   287.11 
 1747  287.028 
 1748  286.959 
 1749  286.991 
 1750   287.06 
 1751  287.097 
 1752  286.981 
 1753  287.042 
 1754  287.073 
 1755  287.026 
 1756  287.005 
 1757  287.012 
 1758   287.13 
 1759  286.935 
 1760  286.747 
 1761  286.711 
 1762  286.905 
 1763  286.932 
 1764  286.993 
 1765  287.041 
 1766  287.042 
 1767  286.967 
 1768  286.974 
 1769  286.914 
 1770  286.926 
 1771  286.928 
 1772  286.953 
 1773  286.927 
 1774  286.898 
 1775  286.987 
 1776  287.013 
 1777  286.865 
 1778  286.967 
 1779  287.003 
 1780  286.963 
 1781  286.885 
 1782  287.099 
 1783  287.167 
 1784  287.024 
 1785  286.956 
 1786  286.996 
 1787  287.041 
 1788   287.13 
 1789  287.222 
 1790  286.959 
 1791  286.945 
 1792  286.968 
 1793  287.032 
 1794  286.949 
 1795  286.957 
 1796  287.176 
 1797  287.053 
 1798  286.976 
 1799  287.188 
 1800  287.063 
 1801  287.103 
 1802   286.95 
 1803  286.875 
 1804  286.829 
 1805  286.953 
 1806  286.856 
 1807  286.751 
 1808  286.989 
 1809  287.113 
 1810  287.077 
 1811   287.02 
 1812  287.107 
 1813  287.126 
 1814  286.926 
 1815  287.027 
 1816  287.128 
 1817  287.014 
 1818  286.988 
 1819  286.924 
 1820  287.019 
 1821   287.11 
 1822  286.883 
 1823   286.86 
 1824  286.833 
 1825  286.915 
 1826  287.037 
 1827  286.874 
 1828  286.831 
 1829  286.938 
 1830  286.975 
 1831  286.942 
 1832  287.045 
 1833  287.084 
 1834  287.011 
 1835  286.937 
 1836  286.992 
 1837   286.92 
 1838  286.835 
 1839  286.804 
 1840  286.832 
 1841  287.003 
 1842  286.885 
 1843  286.927 
 1844  286.976 
 1845  286.983 
 1846  287.012 
 1847    286.9 
 1848  287.114 
 1849  287.116 
 1850   286.97 
 1851  286.933 
 1852  286.997 
 1853  286.957 
 1854  287.044 
 1855   286.91 
 1856  286.839 
 1857  286.869 
 1858  286.901 
 1859  286.864 
 1860  286.875 
 1861  286.987 
 1862  286.973 
 1863  286.852 
 1864  286.996 
 1865  287.157 
 1866   287.01 
 1867  286.957 
 1868  286.989 
 1869  287.086 
 1870  287.148 
 1871  287.035 
 1872  286.905 
 1873  286.964 
 1874  286.819 
 1875  286.901 
 1876  286.988 
 1877  286.851 
 1878  287.004 
 1879  286.809 
 1880  286.887 
 1881  286.932 
 1882  286.886 
 1883    286.9 
 1884  286.911 
 1885  287.041 
 1886   287.19 
 1887  287.135 
 1888  286.843 
 1889  286.935 
 1890  286.923 
 1891  286.791 
 1892    286.9 
 1893  287.046 
 1894  286.921 
 1895  286.979 
 1896  286.909 
 1897  286.945 
 1898  286.975 
 1899  286.991 
 1900  286.923 
 1901  287.008 
 1902  287.075 
 1903  286.912 
 1904   286.89 
 1905  286.955 
 1906  286.771 
 1907  286.751 
 1908  286.813 
 1909  287.012 
 1910   287.23 
 1911  287.006 
 1912  287.061 
 1913  287.164 
 1914  287.059 
 1915  287.018 
 1916  287.181 
 1917  287.186 
 1918  287.112 
 1919  287.173 
 1920  287.146 
 1921   287.02 
 1922  287.201 
 1923  287.269 
 1924  287.073 
 1925  286.957 
 1926  286.987 
 1927  287.195 
 1928  287.077 
 1929  286.869 
 1930  286.846 
 1931  286.899 
 1932  287.045 
 1933  286.975 
 1934  287.005 
 1935  287.032 
 1936  286.915 
 1937  286.941 
 1938   286.91 
 1939  286.899 
 1940  286.962 
 1941  287.006 
 1942  286.818 
 1943  286.827 
 1944  286.968 
 1945  286.983 
 1946  286.966 
 1947  286.863 
 1948  286.979 
 1949  286.967 
 1950  286.877 
 1951  286.996 
 1952  287.068 
 1953  287.135 
 1954   286.98 
 1955   286.95 
 1956  286.979 
 1957  286.947 
 1958  286.885 
 1959  286.945 
 1960  286.997 
 1961  286.998 
 1962  286.956 
 1963  286.966 
 1964  286.951 
 1965  286.903 
 1966  286.974 
 1967  287.113 
 1968  287.155 
 1969  287.002 
 1970  287.045 
 1971  287.005 
 1972  286.879 
 1973  286.909 
 1974  287.012 
 1975  286.969 
 1976  286.954 
 1977  287.081 
 1978   287.13 
 1979  287.072 
 1980  287.243 
 1981  287.147 
 1982  286.819 
 1983  286.923 
 1984  286.973 
 1985  286.853 
 1986   286.89 
 1987  286.835 
 1988   286.94 
 1989  286.942 
 1990  286.861 
 1991  286.974 
 1992  286.975 
 1993  287.018 
 1994  286.944 
 1995  286.913 
 1996  286.915 
 1997  286.869 
 1998  286.902 
 1999  286.938 
 2000  287.142 
 2001  287.189 
 2002  286.899 
 2003  286.991 
 2004  286.964 
 2005  287.015 
 2006  286.927 
 2007  286.885 
 2008  286.959 
 2009  287.014 
 2010  287.095 
 2011  286.921 
 2012  287.091 
 2013  287.188 
 2014  287.022 
 2015  286.971 
 2016  286.896 
 2017  287.015 
 2018  286.986 
 2019  286.993 
 2020  286.979 
 2021  287.019 
 2022  286.972 
 2023  286.846 
 2024  287.018 
 2025   286.96 
 2026  286.824 
 2027  286.916 
 2028  287.142 
 2029  287.142 
 2030  286.904 
 2031  286.877 
 2032  286.936 
 2033  286.909 
 2034  286.829 
 2035  287.017 
 2036  286.958 
 2037  286.953 
 2038  286.959 
 2039  286.976 
 2040  286.959 
 2041  286.969 
 2042  286.995 
 2043   287.07 
 2044  287.133 
 2045  287.035 
 2046  286.946 
 2047  286.824 
 2048  286.899 
 2049  287.026 
 2050      287 
 2051  286.966 
 2052  286.982 
 2053  286.949 
 2054  287.065 
 2055  287.054 
 2056  287.132 
 2057  287.148 
 2058  287.098 
 2059  287.048 
 2060  286.879 
 2061  287.001 
 2062  287.215 
 2063  286.948 
 2064  286.889 
 2065  286.907 
 2066  286.957 
 2067  286.805 
 2068  286.892 
 2069  286.805 
 2070  286.826 
 2071  286.817 
 2072  286.912 
 2073   286.81 
 2074  286.941 
 2075  286.903 
 2076   286.84 
 2077  286.804 
 2078  286.788 
 2079  286.979 
 2080  287.087 
 2081  286.953 
 2082  286.889 
 2083   286.96 
 2084  286.932 
 2085  286.851 
 2086  286.907 
 2087  286.829 
 2088  286.732 
 2089  286.737 
 2090  286.687 
 2091  286.823 
 2092  286.939 
 2093  286.844 
 2094    286.8 
 2095  286.806 
 2096  286.916 
 2097  286.832 
 2098  286.745 
 2099  286.766 
 2100  286.695 
