#      year    tas (K) 
 2015  287.824 
 2016  287.973 
 2017   287.72 
 2018  287.854 
 2019  287.906 
 2020   288.07 
 2021  287.885 
 2022  288.093 
 2023   288.27 
 2024  288.218 
 2025   288.23 
 2026  288.225 
 2027    288.4 
 2028  288.271 
 2029  288.162 
 2030  288.311 
 2031  288.377 
 2032  288.288 
 2033  288.327 
 2034  288.396 
 2035  288.344 
 2036  288.417 
 2037  288.357 
 2038  288.341 
 2039  288.493 
 2040  288.435 
 2041  288.511 
 2042  288.305 
 2043  288.479 
 2044  288.524 
 2045  288.465 
 2046  288.582 
 2047  288.441 
 2048  288.607 
 2049  288.619 
 2050  288.475 
 2051  288.543 
 2052   288.77 
 2053  288.714 
 2054  288.537 
 2055  288.701 
 2056  288.715 
 2057  288.737 
 2058  288.831 
 2059  288.613 
 2060  288.703 
 2061  288.582 
 2062  288.775 
 2063  288.689 
 2064  288.776 
 2065  288.787 
 2066  288.849 
 2067  288.818 
 2068  288.785 
 2069  288.841 
 2070  288.864 
 2071  288.797 
 2072  288.866 
 2073  288.797 
 2074  288.889 
 2075  288.834 
 2076  288.821 
 2077  288.937 
 2078  288.833 
 2079  288.923 
 2080   288.81 
 2081  288.933 
 2082  288.977 
 2083  288.917 
 2084  288.828 
 2085  288.934 
 2086  288.901 
 2087  288.674 
 2088  288.713 
 2089  288.807 
 2090  288.738 
 2091  288.823 
 2092  288.783 
 2093  288.935 
 2094  288.874 
 2095  288.866 
 2096  288.926 
 2097  288.795 
 2098  288.957 
 2099  288.823 
 2100  288.741 
