#      year    tas (K) 
 2015  287.849 
 2016  287.862 
 2017  287.902 
 2018  287.964 
 2019  287.909 
 2020  287.953 
 2021    288.2 
 2022  288.183 
 2023  288.038 
 2024  288.157 
 2025  288.175 
 2026  288.103 
 2027  288.276 
 2028  288.192 
 2029  287.993 
 2030  288.002 
 2031  288.313 
 2032   288.19 
 2033  288.262 
 2034  288.336 
 2035  288.179 
 2036  288.296 
 2037  288.242 
 2038  288.079 
 2039    288.2 
 2040  288.303 
 2041  288.198 
 2042  288.348 
 2043  288.427 
 2044  288.443 
 2045  288.373 
 2046  288.506 
 2047  288.396 
 2048  288.592 
 2049  288.404 
 2050  288.419 
 2051  288.411 
 2052  288.561 
 2053  288.499 
 2054  288.595 
 2055  288.376 
 2056  288.323 
 2057  288.379 
 2058  288.508 
 2059  288.521 
 2060  288.647 
 2061  288.582 
 2062  288.606 
 2063  288.687 
 2064  288.462 
 2065  288.689 
 2066    288.8 
 2067  288.415 
 2068  288.561 
 2069  288.744 
 2070    288.8 
 2071  288.823 
 2072  288.637 
 2073  288.695 
 2074  288.611 
 2075  288.764 
 2076  288.809 
 2077  288.888 
 2078  288.827 
 2079  288.892 
 2080  288.737 
 2081  288.954 
 2082  288.849 
 2083   288.78 
 2084  288.685 
 2085  288.803 
 2086  288.962 
 2087  288.701 
 2088  288.666 
 2089  288.777 
 2090  288.826 
 2091  288.941 
 2092  288.873 
 2093  289.144 
 2094  288.885 
 2095  288.877 
 2096  288.844 
 2097  289.021 
 2098  288.973 
 2099  288.862 
 2100  289.058 
