#      year    tas (K) 
 2015  288.136 
 2016  288.144 
 2017   288.24 
 2018  288.286 
 2019  288.417 
 2020  288.322 
 2021  288.268 
 2022  288.251 
 2023  288.398 
 2024  288.472 
 2025  288.455 
 2026  288.547 
 2027  288.529 
 2028  288.626 
 2029   288.54 
 2030  288.524 
 2031  288.435 
 2032  288.579 
 2033   288.68 
 2034  288.457 
 2035  288.521 
 2036  288.687 
 2037  288.915 
 2038  288.823 
 2039  288.826 
 2040   289.13 
 2041  288.697 
 2042  288.779 
 2043  288.958 
 2044   289.13 
 2045   289.06 
 2046  289.025 
 2047  289.079 
 2048  288.888 
 2049   288.87 
 2050  288.958 
 2051  288.916 
 2052  288.785 
 2053  288.782 
 2054   288.97 
 2055  288.687 
 2056  288.787 
 2057  288.948 
 2058  288.818 
 2059  288.953 
 2060  289.007 
 2061   288.64 
 2062  288.735 
 2063  288.879 
 2064  289.038 
 2065  288.775 
 2066  289.014 
 2067  289.122 
 2068  288.863 
 2069  288.983 
 2070  289.122 
 2071  288.987 
 2072  288.928 
 2073  288.991 
 2074   289.13 
 2075  289.028 
 2076  289.042 
 2077  288.928 
 2078  289.052 
 2079  289.115 
 2080  288.937 
 2081  288.936 
 2082  289.162 
 2083   289.11 
 2084  288.664 
 2085  288.875 
 2086  288.774 
 2087  288.987 
 2088  288.918 
 2089  288.808 
 2090  288.927 
 2091  289.093 
 2092  288.859 
 2093    288.9 
 2094  288.977 
 2095  288.904 
 2096  288.817 
 2097  288.821 
 2098   288.92 
 2099  288.973 
 2100  289.015 
