#      year    tas (K) 
 2015   287.67 
 2016  287.663 
 2017  287.725 
 2018  287.874 
 2019  288.021 
 2020  287.917 
 2021  287.969 
 2022  287.995 
 2023  287.921 
 2024  288.022 
 2025  287.976 
 2026  287.852 
 2027  287.957 
 2028   287.96 
 2029  288.148 
 2030  288.032 
 2031  287.996 
 2032  288.149 
 2033  288.163 
 2034  288.223 
 2035  288.218 
 2036  288.088 
 2037  288.178 
 2038   288.19 
 2039  288.124 
 2040  288.295 
 2041   288.32 
 2042  288.295 
 2043  288.134 
 2044  288.239 
 2045  288.327 
 2046  288.484 
 2047  288.572 
 2048  288.536 
 2049  288.487 
 2050  288.538 
 2051   288.67 
 2052  288.682 
 2053  288.517 
 2054  288.449 
 2055  288.421 
 2056   288.38 
 2057  288.508 
 2058  288.704 
 2059  288.763 
 2060  288.652 
 2061  288.534 
 2062   288.54 
 2063  288.769 
 2064  288.755 
 2065  288.718 
 2066  288.934 
 2067  288.738 
 2068   288.68 
 2069  288.705 
 2070  288.877 
 2071  288.917 
 2072  288.902 
 2073  288.993 
 2074   289.07 
 2075      289 
 2076  289.077 
 2077  288.951 
 2078  288.936 
 2079  288.885 
 2080  289.015 
 2081  289.046 
 2082   288.98 
 2083  289.061 
 2084  289.054 
 2085  289.042 
 2086  289.133 
 2087  289.076 
 2088  289.109 
 2089  289.129 
 2090  289.166 
 2091  289.091 
 2092  289.039 
 2093  289.199 
 2094  289.174 
 2095  289.111 
 2096  289.185 
 2097  289.191 
 2098  289.083 
 2099  289.009 
 2100  289.159 
