#      year    tas (K) 
 2015   288.11 
 2016  288.185 
 2017  288.154 
 2018  288.198 
 2019  288.359 
 2020  288.343 
 2021  288.241 
 2022  288.455 
 2023  288.562 
 2024  288.508 
 2025  288.706 
 2026   288.67 
 2027   288.71 
 2028  288.733 
 2029  288.852 
 2030  288.908 
 2031  289.055 
 2032  289.076 
 2033  288.936 
 2034  288.901 
 2035  288.886 
 2036  289.158 
 2037   289.21 
 2038  289.253 
 2039  289.238 
 2040  289.347 
 2041  289.307 
 2042  289.361 
 2043  289.238 
 2044  289.414 
 2045  289.524 
 2046   289.57 
 2047  289.677 
 2048  289.668 
 2049   289.59 
 2050  289.704 
 2051  289.785 
 2052  289.728 
 2053  289.828 
 2054    289.9 
 2055  289.895 
 2056  289.934 
 2057  290.003 
 2058  290.073 
 2059  290.109 
 2060  290.021 
 2061  290.164 
 2062  290.304 
 2063  290.141 
 2064  290.066 
 2065  290.081 
 2066  290.106 
 2067  290.166 
 2068  290.248 
 2069  290.315 
 2070   290.58 
 2071  290.552 
 2072  290.381 
 2073  290.512 
 2074  290.537 
 2075  290.556 
 2076  290.617 
 2077  290.769 
 2078  290.594 
 2079  290.594 
 2080  290.729 
 2081   290.91 
 2082   290.93 
 2083  290.965 
 2084  290.758 
 2085  290.798 
 2086  290.995 
 2087  290.977 
 2088  291.034 
 2089   290.97 
 2090  290.858 
 2091  291.074 
 2092   291.07 
 2093  291.003 
 2094  290.996 
 2095  291.176 
 2096  291.162 
 2097  291.227 
 2098  291.253 
 2099  291.152 
 2100   291.22 
