#      year    tas (K) 
 2015  287.708 
 2016   287.86 
 2017  287.986 
 2018  287.999 
 2019  287.806 
 2020  287.894 
 2021  288.074 
 2022  288.074 
 2023  287.879 
 2024  288.007 
 2025   288.07 
 2026  288.013 
 2027  287.997 
 2028  288.065 
 2029  288.108 
 2030  288.126 
 2031  288.137 
 2032  288.168 
 2033  288.191 
 2034  288.216 
 2035  288.299 
 2036  288.331 
 2037  288.466 
 2038  288.351 
 2039  288.274 
 2040  288.356 
 2041  288.456 
 2042  288.493 
 2043   288.43 
 2044  288.477 
 2045  288.585 
 2046  288.588 
 2047   288.72 
 2048  288.759 
 2049  288.656 
 2050  288.626 
 2051  288.754 
 2052  288.693 
 2053  288.751 
 2054   288.72 
 2055  288.606 
 2056  288.864 
 2057  289.125 
 2058  288.998 
 2059  288.935 
 2060  289.189 
 2061   289.13 
 2062  289.172 
 2063  289.103 
 2064  289.332 
 2065  289.344 
 2066  289.213 
 2067  289.226 
 2068  289.387 
 2069  289.584 
 2070  289.336 
 2071  289.353 
 2072  289.625 
 2073  289.855 
 2074  289.869 
 2075  289.628 
 2076  289.536 
 2077  289.713 
 2078  289.778 
 2079  289.699 
 2080   289.83 
 2081  289.951 
 2082  289.953 
 2083  289.898 
 2084  289.856 
 2085  289.998 
 2086  290.069 
 2087  290.058 
 2088  290.162 
 2089  290.173 
 2090  290.256 
 2091  290.153 
 2092  290.198 
 2093  290.432 
 2094   290.44 
 2095  290.295 
 2096  290.414 
 2097  290.415 
 2098  290.391 
 2099  290.514 
 2100  290.455 
