#      year    tas (K) 
 2015   288.07 
 2016  288.107 
 2017  288.301 
 2018  288.276 
 2019  288.266 
 2020  288.344 
 2021  288.296 
 2022  288.322 
 2023  288.559 
 2024  288.448 
 2025  288.418 
 2026  288.623 
 2027  288.569 
 2028  288.668 
 2029  288.795 
 2030  288.745 
 2031  288.949 
 2032  288.979 
 2033  289.128 
 2034   289.02 
 2035  289.026 
 2036  289.168 
 2037  289.185 
 2038  289.076 
 2039  289.272 
 2040  289.451 
 2041  289.467 
 2042  289.494 
 2043  289.694 
 2044  289.819 
 2045  289.707 
 2046  289.822 
 2047   290.07 
 2048  289.876 
 2049  289.957 
 2050  290.051 
 2051  290.116 
 2052   290.22 
 2053  290.265 
 2054  290.318 
 2055  290.405 
 2056  290.682 
 2057  290.741 
 2058  290.707 
 2059  290.885 
 2060  290.916 
 2061  290.987 
 2062  291.022 
 2063  290.955 
 2064  291.161 
 2065   291.19 
 2066  291.376 
 2067  291.504 
 2068  291.383 
 2069  291.555 
 2070  291.839 
 2071    291.9 
 2072  291.702 
 2073  291.997 
 2074  292.114 
 2075  292.121 
 2076   292.14 
 2077  292.294 
 2078  292.372 
 2079   292.27 
 2080  292.526 
 2081  292.807 
 2082  292.671 
 2083  292.677 
 2084  292.844 
 2085  292.972 
 2086  292.849 
 2087  292.976 
 2088  293.219 
 2089  293.272 
 2090  293.306 
 2091  293.587 
 2092  293.523 
 2093  293.616 
 2094  293.709 
 2095   293.79 
 2096  293.982 
 2097  293.896 
 2098  293.914 
 2099  294.162 
 2100  294.182 
