#      year    tas (K) 
 2015  287.861 
 2016  288.152 
 2017  288.274 
 2018  288.042 
 2019   288.02 
 2020  288.007 
 2021  288.208 
 2022  287.997 
 2023  288.061 
 2024  288.094 
 2025  288.144 
 2026  288.175 
 2027  288.264 
 2028  288.416 
 2029  288.592 
 2030  288.513 
 2031  288.263 
 2032  288.224 
 2033  288.227 
 2034  288.331 
 2035   288.32 
 2036  288.484 
 2037  288.472 
 2038   288.78 
 2039  288.737 
 2040  288.691 
 2041  288.828 
 2042  288.949 
 2043  289.142 
 2044  289.283 
 2045  289.213 
 2046  289.183 
 2047  289.341 
 2048  289.441 
 2049  289.384 
 2050  289.497 
 2051  289.515 
 2052  289.673 
 2053  289.717 
 2054  289.706 
 2055  289.725 
 2056  289.996 
 2057  289.966 
 2058  289.997 
 2059  289.934 
 2060   290.09 
 2061  289.994 
 2062  290.106 
 2063  290.324 
 2064  290.375 
 2065  290.372 
 2066  290.608 
 2067  290.597 
 2068  290.637 
 2069  290.692 
 2070  290.843 
 2071  291.052 
 2072  290.993 
 2073  290.956 
 2074  291.077 
 2075  290.979 
 2076  291.153 
 2077  291.293 
 2078  291.491 
 2079  291.529 
 2080  291.834 
 2081  292.028 
 2082  291.716 
 2083  291.853 
 2084  292.033 
 2085  291.908 
 2086  292.123 
 2087  292.377 
 2088  292.331 
 2089  292.491 
 2090  292.626 
 2091  292.583 
 2092  292.616 
 2093  292.596 
 2094  292.676 
 2095  292.922 
 2096  293.045 
 2097  292.949 
 2098   293.16 
 2099  293.406 
 2100  293.243 
