#      year    tas (K) 
 2015  287.482 
 2016  287.501 
 2017  287.614 
 2018  287.688 
 2019  287.843 
 2020  287.989 
 2021  287.901 
 2022  287.729 
 2023  287.828 
 2024  288.032 
 2025  288.128 
 2026  288.134 
 2027  288.016 
 2028  288.096 
 2029  288.355 
 2030  288.326 
 2031  287.993 
 2032  288.063 
 2033  288.082 
 2034  288.103 
 2035  288.314 
 2036  288.376 
 2037  288.303 
 2038  288.225 
 2039  288.338 
 2040   288.59 
 2041  288.464 
 2042   288.42 
 2043  288.503 
 2044  288.615 
 2045  288.807 
 2046   288.83 
 2047  288.513 
 2048  288.615 
 2049  288.773 
 2050  289.128 
 2051  288.849 
 2052  288.737 
 2053  288.829 
 2054   288.97 
 2055   289.19 
 2056  289.201 
 2057  289.365 
 2058  289.172 
 2059   289.03 
 2060  289.052 
 2061  289.117 
 2062  289.257 
 2063  289.563 
 2064  289.392 
 2065  289.132 
 2066  289.409 
 2067  289.496 
 2068  289.403 
 2069  289.619 
 2070  289.807 
 2071  289.557 
 2072  289.606 
 2073  289.779 
 2074  289.872 
 2075  290.107 
 2076  289.923 
 2077  289.744 
 2078  289.836 
 2079  290.073 
 2080  290.368 
 2081   290.45 
 2082  290.229 
 2083  290.166 
 2084  290.237 
 2085  290.471 
 2086  290.602 
 2087  290.411 
 2088  290.407 
 2089  290.667 
 2090  290.843 
 2091  290.655 
 2092  290.667 
 2093  290.765 
 2094  290.993 
 2095  290.963 
 2096  290.904 
 2097  291.024 
 2098  291.368 
 2099  291.214 
 2100  291.199 
