#      year    tas (K) 
 2015  287.911 
 2016  288.015 
 2017  288.036 
 2018  288.074 
 2019  288.168 
 2020  288.055 
 2021  288.156 
 2022  288.292 
 2023  288.256 
 2024  288.366 
 2025  288.396 
 2026  288.259 
 2027  288.511 
 2028   288.55 
 2029  288.409 
 2030  288.508 
 2031  288.591 
 2032  288.657 
 2033   288.53 
 2034  288.574 
 2035  288.721 
 2036  288.807 
 2037  288.898 
 2038  288.953 
 2039  288.897 
 2040  289.016 
 2041   289.09 
 2042  289.132 
 2043    289.1 
 2044  289.137 
 2045  289.066 
 2046  289.175 
 2047   289.37 
 2048  289.294 
 2049   289.32 
 2050  289.423 
 2051  289.204 
 2052  289.338 
 2053  289.355 
 2054  289.354 
 2055  289.481 
 2056  289.511 
 2057  289.537 
 2058   289.55 
 2059  289.659 
 2060  289.765 
 2061  289.656 
 2062   289.76 
 2063  289.872 
 2064  289.799 
 2065  289.987 
 2066  289.947 
 2067  290.102 
 2068  290.214 
 2069  290.106 
 2070  290.138 
 2071  290.124 
 2072  290.178 
 2073  290.373 
 2074  290.397 
 2075  290.397 
 2076   290.45 
 2077  290.519 
 2078  290.609 
 2079  290.617 
 2080  290.718 
 2081  290.805 
 2082  290.944 
 2083  290.897 
 2084  291.056 
 2085  291.161 
 2086  291.092 
 2087  291.134 
 2088  291.046 
 2089  291.014 
 2090  291.148 
 2091  291.311 
 2092   291.28 
 2093  291.242 
 2094  291.459 
 2095  291.361 
 2096  291.509 
 2097  291.729 
 2098  291.455 
 2099  291.551 
 2100  291.819 
