date,water_level
1948-01-01,1134.529
1948-01-02,1134.534
1948-01-03,1134.494
1948-01-04,1134.484
1948-01-05,1134.509
1948-01-06,1134.509
1948-01-07,1134.509
1948-01-08,1134.544
1948-01-09,1134.549
1948-01-10,1134.519
1948-01-11,1134.549
1948-01-12,1134.549
1948-01-13,1134.529
1948-01-14,1134.529
1948-01-15,1134.529
1948-01-16,1134.499
1948-01-17,1134.499
1948-01-18,1134.509
1948-01-19,1134.499
1948-01-20,1134.499
1948-01-21,1134.504
1948-01-22,1134.564
1948-01-23,1134.479
1948-01-24,1134.519
1948-01-25,1134.589
1948-01-26,1134.509
1948-01-27,1134.509
1948-01-28,1134.504
1948-01-29,1134.509
1948-01-30,1134.509
1948-01-31,1134.524
1948-02-01,1134.484
1948-02-02,1134.489
1948-02-03,1134.499
1948-02-04,1134.539
1948-02-05,1134.489
1948-02-06,1134.509
1948-02-07,1134.509
1948-02-08,1134.509
1948-02-09,1134.509
1948-02-10,1134.509
1948-02-11,1134.489
1948-02-12,1134.489
1948-02-13,1134.489
1948-02-14,1134.494
1948-02-15,1134.489
1948-02-16,1134.499
1948-02-17,1134.499
1948-02-18,1134.499
1948-02-19,1134.449
1948-02-20,1134.449
1948-02-21,1134.484
1948-02-22,1134.529
1948-02-23,1134.529
1948-02-24,1134.529
1948-02-25,1134.479
1948-02-26,1134.459
1948-02-27,1134.504
1948-02-28,1134.549
1948-02-29,1134.549
1948-03-01,1134.489
1948-03-02,1134.489
1948-03-03,1134.419
1948-03-04,1134.419
1948-03-05,1134.469
1948-03-06,1134.469
1948-03-07,1134.534
1948-03-08,1134.529
1948-03-09,1134.539
1948-03-10,1134.529
1948-03-11,1134.489
1948-03-12,1134.494
1948-03-13,1134.509
1948-03-14,1134.519
1948-03-15,1134.519
1948-03-16,1134.539
1948-03-17,1134.539
1948-03-18,1134.549
1948-03-19,1134.519
1948-03-20,1134.519
1948-03-21,1134.519
1948-03-22,1134.529
1948-03-23,1134.539
1948-03-24,1134.539
1948-03-25,1134.539
1948-03-26,1134.539
1948-03-27,1134.539
1948-03-28,1134.544
1948-03-29,1134.539
1948-03-30,1134.534
1948-03-31,1134.529
1948-04-01,1134.519
1948-04-02,1134.519
1948-04-03,1134.519
1948-04-04,1134.479
1948-04-05,1134.469
1948-04-06,1134.539
1948-04-07,1134.519
1948-04-08,1134.519
1948-04-09,1134.489
1948-04-10,1134.489
1948-04-11,1134.499
1948-04-12,1134.499
1948-04-13,1134.489
1948-04-14,1134.494
1948-04-15,1134.494
1948-04-16,1134.494
1948-04-17,1134.494
1948-04-18,1134.559
1948-04-19,1134.519
1948-04-20,1134.519
1948-04-21,1134.519
1948-04-22,1134.519
1948-04-23,1134.524
1948-04-24,1134.529
1948-04-25,1134.524
1948-04-26,1134.529
1948-04-27,1134.589
1948-04-28,1134.579
1948-04-29,1134.649
1948-04-30,1134.559
1948-05-01,1134.559
1948-05-02,1134.559
1948-05-03,1134.619
1948-05-04,1134.599
1948-05-05,1134.599
1948-05-06,1134.599
1948-05-07,1134.619
1948-05-08,1134.659
1948-05-09,1134.679
1948-05-10,1134.649
1948-05-11,1134.609
1948-05-12,1134.609
1948-05-13,1134.639
1948-05-14,1134.639
1948-05-15,1134.639
1948-05-16,1134.639
1948-05-17,1134.619
1948-05-18,1134.659
1948-05-19,1134.659
1948-05-20,1134.659
1948-05-21,1134.679
1948-05-22,1134.679
1948-05-23,1134.679
1948-05-24,1134.679
1948-05-25,1134.679
1948-05-26,1134.679
1948-05-27,1134.599
1948-05-28,1134.599
1948-05-29,1134.599
1948-05-30,1134.634
1948-05-31,1134.639
1948-06-01,1134.634
1948-06-02,1134.669
1948-06-03,1134.659
1948-06-04,1134.659
1948-06-05,1134.659
1948-06-06,1134.654
1948-06-07,1134.659
1948-06-08,1134.584
1948-06-09,1134.589
1948-06-10,1134.639
1948-06-11,1134.689
1948-06-12,1134.689
1948-06-13,1134.669
1948-06-14,1134.659
1948-06-15,1134.659
1948-06-16,1134.659
1948-06-17,1134.659
1948-06-18,1134.659
1948-06-19,1134.659
1948-06-20,1134.659
1948-06-21,1134.699
1948-06-22,1134.699
1948-06-23,1134.699
1948-06-24,1134.704
1948-06-25,1134.609
1948-06-26,1134.609
1948-06-27,1134.609
1948-06-28,1134.599
1948-06-29,1134.619
1948-06-30,1134.639
1948-07-01,1134.629
1948-07-02,1134.599
1948-07-03,1134.639
1948-07-04,1134.609
1948-07-05,1134.619
1948-07-06,1134.619
1948-07-07,1134.619
1948-07-08,1134.619
1948-07-09,1134.559
1948-07-10,1134.559
1948-07-11,1134.559
1948-07-12,1134.559
1948-07-13,1134.559
1948-07-14,1134.559
1948-07-15,1134.589
1948-07-16,1134.589
1948-07-17,1134.589
1948-07-18,1134.589
1948-07-19,1134.589
1948-07-20,1134.579
1948-07-21,1134.584
1948-07-22,1134.589
1948-07-23,1134.589
1948-07-24,1134.594
1948-07-25,1134.579
1948-07-26,1134.579
1948-07-27,1134.579
1948-07-28,1134.579
1948-07-29,1134.579
1948-07-30,1134.549
1948-07-31,1134.549
1948-08-01,1134.589
1948-08-02,1134.579
1948-08-03,1134.589
1948-08-04,1134.589
1948-08-05,1134.579
1948-08-06,1134.579
1948-08-07,1134.579
1948-08-08,1134.579
1948-08-09,1134.579
1948-08-10,1134.579
1948-08-11,1134.579
1948-08-12,1134.579
1948-08-13,1134.579
1948-08-14,1134.579
1948-08-15,1134.579
1948-08-16,1134.579
1948-08-17,1134.579
1948-08-18,1134.579
1948-08-19,1134.579
1948-08-20,1134.579
1948-08-21,1134.579
1948-08-22,1134.549
1948-08-23,1134.549
1948-08-24,1134.549
1948-08-25,1134.549
1948-08-26,1134.549
1948-08-27,1134.549
1948-08-28,1134.579
1948-08-29,1134.579
1948-08-30,1134.579
1948-08-31,1134.529
1948-09-01,1134.519
1948-09-02,1134.509
1948-09-03,1134.499
